indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos,capa_5_rango,capa_5_error,capa_5_ortogonalidad_h,capa_5_segundos
55,N,New_N_056.wav,10-9-7-5-4,5,0.5338121417137394,126x4,4x212,10,0.043645834572256896,0.3795292458798651,0.020049599988851696,9,0.16907700128567618,0.13531030718216977,0.008707600005436689,7,0.27725739231318475,0.1096993153538943,0.009379499999340624,5,0.37742972285850024,0.11405283477822725,0.011327300017001107,4,0.37765137185506137,0.12963499161906145,0.009444400027859956
56,N,New_N_057.wav,10-9-7-5-4,5,0.4266825004944087,126x4,4x212,10,0.0471635505732697,0.3852302330152821,0.023803899995982647,9,0.10822821673219611,0.17869678953311646,0.0063513999921269715,7,0.2777576113279158,0.12436689040445828,0.010402999992948025,5,0.3837768249374323,0.13235613192609075,0.00828219999675639,4,0.34983154504022673,0.1262496117264573,0.007220100000267848
57,N,New_N_058.wav,10-9-7-5-4,5,0.5428858213963726,126x4,4x212,10,0.05368849144516432,0.3794118257178037,0.02477679998264648,9,0.11536898514288657,0.13338928995059848,0.009623899997677654,7,0.29528003725114144,0.10952858598197239,0.008948500006226823,5,0.33711302060254533,0.11710994034384078,0.006447099993238226,4,0.35722384562122605,0.11895174524870593,0.007373300002655014
58,N,New_N_059.wav,10-9-7-5-4,5,0.48969107838232173,126x4,4x212,10,0.0680422873488829,0.3801514797788071,0.017772799998056144,9,0.1439541589768634,0.15984626699518872,0.009526400011964142,7,0.14455721379330264,0.09226871879628047,0.006167999992612749,5,0.25327172329644837,0.06688794992545931,0.007407299999613315,4,0.33047786096046333,0.0625232891203696,0.008936300000641495
59,N,New_N_060.wav,10-9-7-5-4,5,0.4035278534220269,126x4,4x212,10,0.050465052598335655,0.43573680774161744,0.024264800013042986,9,0.17982372085433002,0.1942672529965733,0.009970699989935383,7,0.24559982219932522,0.1359841733985497,0.005625499994494021,5,0.3901127493406769,0.14728832686420829,0.0049925000057555735,4,0.3024202554667082,0.12545624614296833,0.007097900001099333
60,N,New_N_061.wav,10-9-7-5-4,5,0.4268057192487721,126x4,4x212,10,0.06082982906275423,0.3906531725060089,0.02115889999549836,9,0.13762209513208168,0.1895640211782689,0.010740000026999041,7,0.24759141196115447,0.12611839467136898,0.009255999990273267,5,0.37314423631203997,0.10759866897935233,0.008783199999015778,4,0.36264075493621784,0.11334250036147746,0.007426799973472953
61,N,New_N_062.wav,10-9-7-5-4,5,0.4979619689803346,126x4,4x212,10,0.053808490278218116,0.3782823086678945,0.02287129999604076,9,0.11549795853134233,0.1627390738685701,0.009153899998636916,7,0.2193888546323516,0.12281401855868244,0.009330000000772998,5,0.28517830074261974,0.13151915916177076,0.0056831999972928315,4,0.2395563919975587,0.13227588676264185,0.007223599997814745
62,N,New_N_063.wav,10-9-7-5-4,5,0.4551932730465456,126x4,4x212,10,0.0520852061181652,0.37479878942050554,0.025115900003584102,9,0.14247478011332507,0.1613867713196224,0.010927800001809373,7,0.27020102437112475,0.10295436169254406,0.009637199982535094,5,0.3304044643352267,0.07241528645878784,0.008239500020863488,4,0.4196038994568417,0.06959322629011856,0.007983700023032725
63,N,New_N_064.wav,10-9-7-5-4,5,0.444103531635373,126x4,4x212,10,0.0702049182922899,0.41698858484561807,0.019831899990094826,9,0.12111964636355205,0.15037935605932917,0.009847300010733306,7,0.2566416572562758,0.12877736551278612,0.009136100008618087,5,0.3288369422571255,0.10727006000339064,0.008519499999238178,4,0.33836193129757985,0.09300451059264146,0.007246799999848008
64,N,New_N_065.wav,10-9-7-5-4,5,0.42470490440226627,126x4,4x212,10,0.05321683249633181,0.4352425392112431,0.020406499999808148,9,0.13830895935286092,0.1818823743764495,0.00994299998274073,7,0.3103672923586564,0.11157598647893358,0.009830700000748038,5,0.373615960078925,0.09785981920066253,0.008607700001448393,4,0.35935327869451555,0.08521532662003946,0.007571499998448417
65,N,New_N_066.wav,10-9-7-5-4,5,0.4504785820684653,126x4,4x212,10,0.06061663405983682,0.39978972581344663,0.018770800001220778,9,0.17203036009615805,0.19304525777583864,0.009894700022414327,7,0.2921370091935296,0.1871516086453543,0.009110499988310039,5,0.3714891485108704,0.1464496952502901,0.008490500011248514,4,0.2973655040506174,0.11020332708878644,0.007428899989463389
66,N,New_N_067.wav,10-9-7-5-4,5,0.4582303269906542,126x4,4x212,10,0.0558619098098592,0.4292981133429921,0.021799599984660745,9,0.13857547536942466,0.19105810272296914,0.010090800002217293,7,0.18549171915877555,0.13845807450744071,0.010658199986210093,5,0.3084975035733468,0.14045586950698413,0.008903900015866384,4,0.26692924292868875,0.12096770821708012,0.007481700013158843
67,N,New_N_068.wav,10-9-7-5-4,5,0.41584306973276497,126x4,4x212,10,0.05648289506695582,0.4354619285430951,0.02280649999738671,9,0.1476218347068751,0.20499255967973187,0.010062299988931045,7,0.24809107611085557,0.17631660125032897,0.014469999994616956,5,0.3849231316402871,0.15580283460077832,0.007513699994888157,4,0.3236777217607409,0.15011670787594725,0.006541600014315918
68,N,New_N_069.wav,10-9-7-5-4,5,0.45123235808536183,126x4,4x212,10,0.05900828808429117,0.41054069720843295,0.027945299982093275,9,0.17596303727595694,0.24530054163577653,0.009202999994158745,7,0.3244811847531992,0.23374335070151903,0.010311200021533296,5,0.4037838650738928,0.23460338680399645,0.008265700016636401,4,0.3477678908486267,0.2174660739855653,0.007726099982392043
