indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
91,N,New_N_092.wav,10-6-4,0.3065159995089441,126x4,4x212,10,0.05876698977695783,0.3633712029212846,0.011138800000480842,6,0.19176000799495327,0.15357815158986862,0.0055388000000675675,4,0.2788913524224022,0.13151122009364996,0.0034713999993982725
92,N,New_N_093.wav,10-6-4,0.2684584936161825,126x4,4x212,10,0.060284424530053664,0.3787876081464194,0.012534199999208795,6,0.3048682991061412,0.189993958550189,0.0041038999988813885,4,0.38314765614906793,0.1798950266185909,0.003402099999220809
93,N,New_N_094.wav,10-6-4,0.26268745416595235,126x4,4x212,10,0.06534278981587892,0.34433427068913275,0.011950700001762016,6,0.24508924890172906,0.17769233361513387,0.0040675999989616685,4,0.40467672042101427,0.15136110155246746,0.003410099998291116
94,N,New_N_095.wav,10-6-4,0.25933895745340724,126x4,4x212,10,0.05303813179773506,0.3672348254133024,0.011162599999806844,6,0.30070246358680186,0.27050884297442007,0.005278799999359762,4,0.3701854861486619,0.275944182521394,0.0034711000007519033
95,N,New_N_096.wav,10-6-4,0.34436321266031833,126x4,4x212,10,0.05731537341125864,0.3397715192775443,0.011475399998744251,6,0.2253644113593233,0.15398181972393707,0.004248000001098262,4,0.3700958760209004,0.13280801474540113,0.003416700001253048
96,N,New_N_097.wav,10-6-4,0.26750743579267067,126x4,4x212,10,0.05648754572654802,0.3566216091495936,0.012084199999662815,6,0.32182479688725646,0.21461040372164983,0.004104400002688635,4,0.4005791378325484,0.1703194800842456,0.0037575999995169695
97,N,New_N_098.wav,10-6-4,0.20303747625773183,126x4,4x212,10,0.06974368095300945,0.3752200686650361,0.01225979999799165,6,0.24802151854072466,0.22347676430550115,0.004295099999580998,4,0.42475301534440296,0.21367301913963688,0.004375200001959456
98,N,New_N_099.wav,10-6-4,0.28613042941145866,126x4,4x212,10,0.06320973971990523,0.4296419281536059,0.012698500002443325,6,0.19055027763510324,0.18300749323707935,0.007593700000143144,4,0.289726583579808,0.18168492439922102,0.003528500001266366
99,N,New_N_100.wav,10-6-4,0.2871590050867161,126x4,4x212,10,0.048784300439663086,0.43918876435857257,0.014244200003304286,6,0.17231281351939082,0.13753969220370693,0.005831399997987319,4,0.3623922182794128,0.11341531238049303,0.003623399999924004
100,N,New_N_101.wav,10-6-4,0.30315224851233546,126x4,4x212,10,0.054435994101483066,0.3501668955143095,0.01313780000054976,6,0.23313397118183576,0.14009789662658914,0.0041326000027765986,4,0.4317947302844179,0.13756519136074435,0.0034047000008285977
101,N,New_N_102.wav,10-6-4,0.2721650405974077,126x4,4x212,10,0.05535475299711525,0.35511691610007906,0.011837099998956546,6,0.16728010553271488,0.12801645837676198,0.004344900000432972,4,0.34312885134749044,0.10986049312623493,0.004675100000895327
102,N,New_N_103.wav,10-6-4,0.2228019839258138,126x4,4x212,10,0.051561686423492785,0.4101636538423317,0.011346600000251783,6,0.22038265886809744,0.19768716807774303,0.005058000002463814,4,0.3296761122155988,0.1667269004855273,0.003451900000072783
103,N,New_N_104.wav,10-6-4,0.21533826278503745,126x4,4x212,10,0.05499198926207823,0.3965626912658959,0.012197000000014668,6,0.20457486240090664,0.27195865547241116,0.004424700000527082,4,0.20328171374187004,0.2529846464901901,0.0034766999997373205
104,N,New_N_105.wav,10-6-4,0.24339461568587178,126x4,4x212,10,0.062289354107385904,0.40974203065689563,0.011832199998025317,6,0.14037344698215423,0.17229699734399195,0.004287700001441408,4,0.2616041167403009,0.10497253854334326,0.004793599997356068
105,N,New_N_106.wav,10-6-4,0.2627399660376688,126x4,4x212,10,0.054661903399764,0.36853053494405164,0.011671299998852191,6,0.2801589094159099,0.22359546560002883,0.00482689999989816,4,0.434140285498782,0.24388091391562508,0.003947000001062406
