distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
12-6-5,3,UjaNet,DeepONMF_H3,0.985,0.0093541434669348,0.9925,0.0052291251658379,0.955,0.0325960120260132,0.9888272545368526,0.0080601423761529,0.97375,0.0177603402979784
12-6-5,3,UjaNet,DeepONMF_W,0.96,0.0158113883008418,0.965,0.0223606797749978,0.94,0.0223606797749978,0.9847730444660824,0.0055519749428589,0.9525,0.0104582503316759
12-7,2,KNN,DeepONMF_H2,0.956,0.0138744369255115,0.97875,0.0113536888278656,0.865,0.0741619848709566,0.9669901535439454,0.017774659103068,0.921875,0.0351475683725062
12-7,2,KNN,DeepONMF_W,0.868,0.021095023109729,0.89125,0.0162980060130066,0.775,0.0586301969977928,0.940716914394583,0.0150609200733245,0.8331249999999999,0.0337731402152657
12-7,2,SVM,DeepONMF_H2,0.972,0.0144048602908879,0.9775,0.0121834929310112,0.95,0.0249999999999999,0.9873493295393638,0.0063794588083359,0.96375,0.0181680523171857
12-7,2,SVM,DeepONMF_W,0.912,0.0083666002653407,0.9075,0.0052291251658379,0.93,0.0325960120260132,0.9811346290837748,0.0086772985729693,0.91875,0.0169730945175003
12-7,2,UjaNet,DeepONMF_H2,0.993,0.0057008771254956,0.99625,0.0034232659844072,0.98,0.0209165006633519,0.9950232919254658,0.0051989945273601,0.988125,0.0111365810507533
12-7,2,UjaNet,DeepONMF_W,0.973,0.0135092560861063,0.985,0.0129602758458297,0.925,0.0306186217847897,0.9813403695625972,0.0074713740906269,0.955,0.0183019380804328
12-8-3,3,KNN,DeepONMF_H3,0.963,0.0135092560861062,0.98625,0.0102697979532219,0.8699999999999999,0.0512347538297979,0.9682119752005496,0.0122213401221784,0.928125,0.0264242726957621
12-8-3,3,KNN,DeepONMF_W,0.908,0.0144048602908879,0.9325,0.0068465319688145,0.8099999999999999,0.0575543221661066,0.951666618943689,0.0141793671934659,0.8712500000000001,0.0301687959653678
12-8-3,3,SVM,DeepONMF_H3,0.972,0.0144048602908879,0.9825,0.0111803398874989,0.93,0.0325960120260131,0.9824991154965012,0.0081356011802986,0.95625,0.0207289049397212
12-8-3,3,SVM,DeepONMF_W,0.923,0.0090829510622924,0.9175,0.0161777238819309,0.945,0.0325960120260132,0.985381276612847,0.0084131936257647,0.93125,0.011481983169296
12-8-3,3,UjaNet,DeepONMF_H3,0.989,0.0041833001326703,0.99375,0.0076546554461974,0.97,0.0209165006633519,0.9925541561229968,0.0051761261516236,0.981875,0.0080888619409654
12-8-3,3,UjaNet,DeepONMF_W,0.966,0.0119373363863132,0.985,0.0094785943050644,0.89,0.0487339717240448,0.9729548609689352,0.0116069423539743,0.9375,0.024506854908372
