indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
48,N,New_N_049.wav,14-9-5,3,0.28954899076838014,126x5,5x212,14,0.04373808615580308,0.4006186663765401,0.008085699999355711,9,0.2174568226016541,0.18341461970376166,0.0031597999986843206,5,0.4174032876456858,0.15367308912893798,0.002228399993327912
49,N,New_N_050.wav,14-9-5,3,0.26376542331880876,126x5,5x212,14,0.062085654087538654,0.4130196803398432,0.007686700002523139,9,0.20640494778104065,0.15001335816516337,0.002793999999994412,5,0.4196357649187529,0.09868604363369052,0.0022152000019559637
50,N,New_N_051.wav,14-9-5,3,0.24781201640556186,126x5,5x212,14,0.03842638552502978,0.4105687017337015,0.008078800005023368,9,0.2060545567613837,0.17292348674691427,0.0028388999999151565,5,0.36265716451653346,0.16557422749626532,0.0022547999978996813
51,N,New_N_052.wav,14-9-5,3,0.2982900038303205,126x5,5x212,14,0.042505154937271875,0.41601098404491743,0.008173700000043027,9,0.24385358363043447,0.23778719636277598,0.002958199998829514,5,0.4348693475156465,0.24336321695646618,0.0022650999962934293
52,N,New_N_053.wav,14-9-5,3,0.2825659438998119,126x5,5x212,14,0.03444802761443297,0.40745938729447434,0.007797099999152124,9,0.21849501421051754,0.1843468472035985,0.003093700004683342,5,0.4664019512836262,0.13756448733313417,0.0022260000041569583
53,N,New_N_054.wav,14-9-5,3,0.2566983417670783,126x5,5x212,14,0.043905579910447225,0.4093781392733252,0.007710899997618981,9,0.16706295181483252,0.18163808147844085,0.0028103000004193746,5,0.3508805782489729,0.1277371045246249,0.003474199998890981
54,N,New_N_055.wav,14-9-5,3,0.2991084661282454,126x5,5x212,14,0.04133513152410113,0.429766014446632,0.0078806999954395,9,0.19335780790871154,0.19919706146303098,0.002748299993982073,5,0.4375307882805147,0.1659546517984708,0.002317300000868272
55,N,New_N_056.wav,14-9-5,3,0.2312171705367661,126x5,5x212,14,0.03997167736624045,0.4607842493756624,0.007956699999340344,9,0.2466264619524392,0.18840799585133944,0.0035561999975470826,5,0.47914637639345625,0.15555588715185695,0.002176499998313375
56,N,New_N_057.wav,14-9-5,3,0.23945774941670336,126x5,5x212,14,0.04514850554543564,0.3946821411451597,0.008131299997330643,9,0.20314095472452023,0.1909142371350304,0.0033358000000589527,5,0.4408229415136332,0.1531362511453232,0.002167799997550901
57,N,New_N_058.wav,14-9-5,3,0.26487834737978755,126x5,5x212,14,0.05110289490097518,0.4434337074384995,0.008212699998694006,9,0.20771812399108092,0.16302271791088735,0.003272199995990377,5,0.37969119207712226,0.17271166264558677,0.002159600000595674
58,N,New_N_059.wav,14-9-5,3,0.28804294086593857,126x5,5x212,14,0.04131359131962204,0.4247754396350071,0.008570199999667238,9,0.24188773914466477,0.14718109267277235,0.003026700003829319,5,0.4760129856995747,0.14545226077057913,0.0023780999981681816
59,N,New_N_060.wav,14-9-5,3,0.2268650382917907,126x5,5x212,14,0.04015111104345412,0.4247577636712563,0.009124900003371295,9,0.2685961652005461,0.15902988098621293,0.0033126999987871386,5,0.5172529358722188,0.1667085536771805,0.002490099999704398
60,N,New_N_061.wav,14-9-5,3,0.25763282801509235,126x5,5x212,14,0.0437074990393473,0.40054646699087265,0.00936340000043856,9,0.18882772896043323,0.21292083680812676,0.003083900002820883,5,0.4380204230396802,0.20096612991057,0.002424400001473259
