distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
10-6-4,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9615555176530788,0.975,200
10-6-4,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9082651391162032,0.940625,200
10-6-4,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9016159809183064,0.9375,200
10-6-4,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.905681182317896,0.940625,200
10-6-4,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9557399760582136,0.971875,200
8-5-3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9613944969758922,0.975,200
8-5-3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9065978852738434,0.9375,200
8-5-3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9169818345768432,0.946875,200
8-5-3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9402130325814536,0.9625,200
8-5-3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9753417314392924,0.984375,200
