indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
124,SNR_0db,ONMF,28-13-6,3,0.05,0.35994355681405926,6x212,126x6,0.034224399947561324
125,SNR_0db,ONMF,28-13-6,3,0.05,0.3486123541758478,6x212,126x6,0.03477919998113066
126,SNR_0db,ONMF,28-13-6,3,0.05,0.35166443698231065,6x212,126x6,0.03358209994621575
127,SNR_0db,ONMF,28-13-6,3,0.05,0.34674917688862106,6x212,126x6,0.034416800015605986
128,SNR_0db,ONMF,28-13-6,3,0.05,0.346742473687408,6x212,126x6,0.034046399989165366
129,SNR_0db,ONMF,28-13-6,3,0.05,0.3470552321196424,6x212,126x6,0.03525219997391105
130,SNR_0db,ONMF,28-13-6,3,0.05,0.35301946984987903,6x212,126x6,0.030400500050745904
131,SNR_0db,ONMF,28-13-6,3,0.05,0.3500812720975554,6x212,126x6,0.030870200018398464
132,SNR_0db,ONMF,28-13-6,3,0.05,0.3470617234221721,6x212,126x6,0.033004999975673854
133,SNR_0db,ONMF,28-13-6,3,0.05,0.34687578253362344,6x212,126x6,0.033578199916519225
134,SNR_0db,ONMF,28-13-6,3,0.05,0.3501010240847805,6x212,126x6,0.03433930000755936
135,SNR_0db,ONMF,28-13-6,3,0.05,0.3510578845807619,6x212,126x6,0.03517309995368123
136,SNR_0db,ONMF,28-13-6,3,0.05,0.34349253826399284,6x212,126x6,0.032225399976596236
137,SNR_0db,ONMF,28-13-6,3,0.05,0.3539214940816047,6x212,126x6,0.033695499994792044
138,SNR_0db,ONMF,28-13-6,3,0.05,0.34685587224415076,6x212,126x6,0.03442819998599589
139,SNR_0db,ONMF,28-13-6,3,0.05,0.35805104965735635,6x212,126x6,0.03542520001064986
140,SNR_0db,ONMF,28-13-6,3,0.05,0.34561557682865546,6x212,126x6,0.03306529996916652
141,SNR_0db,ONMF,28-13-6,3,0.05,0.3458905679316602,6x212,126x6,0.03371979994699359
142,SNR_0db,ONMF,28-13-6,3,0.05,0.34711890896168457,6x212,126x6,0.03557009994983673
143,SNR_0db,ONMF,28-13-6,3,0.05,0.34537857633211966,6x212,126x6,0.03508559998590499
144,SNR_0db,ONMF,28-13-6,3,0.05,0.3478276395742029,6x212,126x6,0.03401059994939715
145,SNR_0db,ONMF,28-13-6,3,0.05,0.34343401945990215,6x212,126x6,0.03312569996342063
146,SNR_0db,ONMF,28-13-6,3,0.05,0.35483539004420156,6x212,126x6,0.034320399980060756
147,SNR_0db,ONMF,28-13-6,3,0.05,0.347914988250121,6x212,126x6,0.035177099984139204
148,SNR_0db,ONMF,28-13-6,3,0.05,0.353048500904317,6x212,126x6,0.03314260009210557
149,SNR_0db,ONMF,28-13-6,3,0.05,0.3440283806739391,6x212,126x6,0.03502479998860508
150,SNR_0db,ONMF,28-13-6,3,0.05,0.3474238868094474,6x212,126x6,0.0349980000173673
151,SNR_0db,ONMF,28-13-6,3,0.05,0.34609965567874446,6x212,126x6,0.03350509994197637
152,SNR_0db,ONMF,28-13-6,3,0.05,0.3459028245368473,6x212,126x6,0.03502019995357841
153,SNR_0db,ONMF,28-13-6,3,0.05,0.3509433069391497,6x212,126x6,0.03262910002376884
154,SNR_0db,ONMF,28-13-6,3,0.05,0.35164942340470495,6x212,126x6,0.03395950002595782
155,SNR_0db,ONMF,28-13-6,3,0.05,0.35262650990770844,6x212,126x6,0.03282199997920543
156,SNR_0db,ONMF,28-13-6,3,0.05,0.3574355591770506,6x212,126x6,0.036230499972589314
157,SNR_0db,ONMF,28-13-6,3,0.05,0.3552887521817603,6x212,126x6,0.033351700054481626
158,SNR_0db,ONMF,28-13-6,3,0.05,0.35716658121916917,6x212,126x6,0.03314650000538677
159,SNR_0db,ONMF,28-13-6,3,0.05,0.35807904720289097,6x212,126x6,0.033517700037918985
160,SNR_0db,ONMF,28-13-6,3,0.05,0.35646641337647345,6x212,126x6,0.03361200005747378
161,SNR_0db,ONMF,28-13-6,3,0.05,0.3623833178585197,6x212,126x6,0.034446800011210144
162,SNR_0db,ONMF,28-13-6,3,0.05,0.3533307186923192,6x212,126x6,0.0325847000349313
163,SNR_0db,ONMF,28-13-6,3,0.05,0.35123306266049636,6x212,126x6,0.032574999961070716
164,SNR_0db,ONMF,28-13-6,3,0.05,0.36068548551019036,6x212,126x6,0.032550200005061924
165,SNR_0db,ONMF,28-13-6,3,0.05,0.35788226963898934,6x212,126x6,0.03411100001540035
