indice_interno,clase,archivo,error_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
294,AS,New_AS_095.wav,0.26853477330532005,9,0.09645178807892,0.17802165141436802,0.021247200202196836,8,0.25993909774559393,0.13734794537983225,0.00969890016131103,7,0.18618699994055127,0.11844832913044957,0.008629400050267577
295,AS,New_AS_096.wav,0.29137238410145033,9,0.12302658153940432,0.1368732207903787,0.02123730001039803,8,0.22408745216698175,0.10479140948754344,0.010228999890387058,7,0.2097659773153445,0.09832812899614424,0.008483599871397018
296,AS,New_AS_097.wav,0.2487459301390049,9,0.09425696494892118,0.24544244051052036,0.02172439987771213,8,0.1778614419895516,0.1609974340469193,0.008628300158306956,7,0.12586935531332866,0.1646897485611129,0.009067700011655688
297,AS,New_AS_098.wav,0.23640750136036603,9,0.09502354503717882,0.2159307323021501,0.020388599950820208,8,0.1696497520431024,0.15419736523043528,0.01015530014410615,7,0.15341352550597437,0.13933978281826184,0.008433599956333637
298,AS,New_AS_099.wav,0.24070369380821768,9,0.09495073905521481,0.1846505568975408,0.020432100165635347,8,0.19164509261993207,0.16590104476509168,0.008105400018393993,7,0.17588856672302197,0.14053762783562884,0.009249400114640594
299,AS,New_AS_100.wav,0.2643470749962357,9,0.08582841468819896,0.17975830204937698,0.02077080006711185,8,0.22561256989645306,0.1337334190612495,0.00841260002925992,7,0.33788082531185776,0.10294634662170773,0.009449599776417017
300,AS,New_AS_101.wav,0.23775843752941841,9,0.09109418369695604,0.2936533021772859,0.02082250011153519,8,0.18152801873216481,0.1792715398737043,0.009947399841621518,7,0.17594702184813749,0.1538388072448155,0.008921300061047077
301,AS,New_AS_102.wav,0.30816888711903534,9,0.10532726195810388,0.18383648678412545,0.022682299837470055,8,0.23030830000781818,0.13220396019247857,0.008524800185114145,7,0.2964749157229227,0.08975479804196827,0.011736999964341521
302,AS,New_AS_103.wav,0.3127515337553424,9,0.09838153362319914,0.18284426358739672,0.029564599972218275,8,0.2354402686741741,0.15762312678522683,0.011741899885237217,7,0.3006042448845873,0.1376426448161579,0.009451800025999546
303,AS,New_AS_104.wav,0.2190895142065677,9,0.09862687045906157,0.23034295720239703,0.02131310012191534,8,0.12394117813756517,0.20438347560808126,0.011101400014013052,7,0.1819094361162103,0.18970474133920825,0.009990000165998936
304,AS,New_AS_105.wav,0.22873586173527158,9,0.08945576964279012,0.2205143746808098,0.02214010013267398,8,0.15043889671980099,0.17099203596119134,0.01045160018838942,7,0.16768607429022367,0.1513354655945965,0.009057199815288186
305,AS,New_AS_106.wav,0.2620229069034767,9,0.10838818571157492,0.19057579900555574,0.0226327998097986,8,0.22672711809038454,0.12191709149141881,0.00885850004851818,7,0.2341412737536357,0.12746546054137317,0.009633399778977036
306,AS,New_AS_107.wav,0.24597228449271127,9,0.0957241095107447,0.20119544469720976,0.020371600054204464,8,0.1291836706970847,0.17863404495825744,0.009468700038269162,7,0.22906077959397553,0.16356287232666772,0.008687600027769804
307,AS,New_AS_108.wav,0.27693480595520575,9,0.09436307770837887,0.19525504786966433,0.020975799998268485,8,0.2318119300810604,0.11277817128551648,0.008098100079223514,7,0.25624923369065905,0.10916294723408747,0.009101999923586845
308,AS,New_AS_109.wav,0.2666002827206439,9,0.09748995704174312,0.2081191609404687,0.020896200090646744,8,0.1984319518185435,0.14502312686841293,0.009416799992322922,7,0.24415457458268044,0.1378710232835909,0.009797000093385577
309,AS,New_AS_110.wav,0.22432195490492454,9,0.08905020365327494,0.21306148662959867,0.020894099958240986,8,0.13029117394123035,0.1798662890679654,0.009544200031086802,7,0.17501488550831085,0.15689561388639822,0.008514999877661467
310,AS,New_AS_111.wav,0.27934822364520095,9,0.07483752328937116,0.2369799136077442,0.022589299827814102,8,0.20658152557385284,0.15609864932389592,0.009038799908012152,7,0.2668610141208818,0.14444531352392706,0.011781000066548586
311,AS,New_AS_112.wav,0.23352202763799498,9,0.08070212297199161,0.2149449682285748,0.021303700050339103,8,0.21229503380521433,0.13626969309708625,0.008168900152668357,7,0.25404783495644395,0.12940990099377497,0.009256600169464946
312,AS,New_AS_113.wav,0.25362824804873146,9,0.07983045693687207,0.18510444731354617,0.020437899976968765,8,0.14791330291043783,0.13810765050909415,0.00980100012384355,7,0.23205465351711094,0.10842022297345635,0.00850109988823533
313,AS,New_AS_114.wav,0.23813448937898687,9,0.07589946115596284,0.18643698532678116,0.02033960004337132,8,0.19682168360970315,0.13246413386938824,0.008619500091299415,7,0.1910158391726068,0.11803430793318578,0.009176500141620636
314,AS,New_AS_115.wav,0.2619058868446571,9,0.0945840765713277,0.22201668955259796,0.02066959999501705,8,0.18384287588825785,0.1770750715739271,0.008768100058659911,7,0.20780351029890207,0.17972110729342233,0.008841000031679869
315,AS,New_AS_116.wav,0.26664986089908543,9,0.09243976394728902,0.21724605618166118,0.021245799958705902,8,0.17650769409938258,0.164987762844273,0.00961549999192357,7,0.2340538517803938,0.15197493315843108,0.00853750016540289
316,AS,New_AS_117.wav,0.25165534663356015,9,0.10281381515652524,0.19187867511969475,0.02088869991712272,8,0.24770408493649723,0.1581036142241082,0.008089100010693073,7,0.18281879080260716,0.1561438493280473,0.00912369997240603
317,AS,New_AS_118.wav,0.22259559751179928,9,0.09597064096605899,0.1872288817190082,0.020561799872666597,8,0.16378761438586456,0.16231627273385701,0.009298800025135279,7,0.20317255710860285,0.15332288514469394,0.008537400048226118
318,AS,New_AS_119.wav,0.2513600048861524,9,0.10124392526162476,0.19695367179987347,0.020895799854770303,8,0.1749050961160073,0.17644041431194957,0.00835480005480349,7,0.19589726247139058,0.15035694157218712,0.009763499954715371
319,AS,New_AS_120.wav,0.23221631057622794,9,0.10693269727256355,0.1645163728848816,0.021362500032410026,8,0.13071692265446783,0.12838245428234218,0.009519399842247367,7,0.23660339853206688,0.11681373109324014,0.010744900209829211
320,AS,New_AS_121.wav,0.27123561912980876,9,0.10175563969111874,0.14534550245734904,0.02135429996997118,8,0.23951514492579035,0.11326053197726235,0.011320500168949366,7,0.20649015540172458,0.11538010574231106,0.01416989997960627
321,AS,New_AS_122.wav,0.24941821112659357,9,0.10475197039073535,0.18169614816875868,0.020968399941921234,8,0.18839434318447099,0.12050432848053998,0.0093149000313133,7,0.2223182023792163,0.11503243426230435,0.008882999885827303
322,AS,New_AS_123.wav,0.2504672749110849,9,0.10295492023206414,0.21441514161166877,0.021051400108262897,8,0.160874821138725,0.11864357238304217,0.008372500073164701,7,0.2171965979146312,0.12257426529094899,0.009811999974772334
