indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
61,N,New_N_062.wav,14-8-5-3,4,0.3550399093004874,126x3,3x212,14,0.047079428297041516,0.42882849040232274,0.008815500004857313,8,0.23016018702601515,0.25311535429705195,0.0035003000011784025,5,0.35059373254178333,0.19866211703585565,0.002542499998526182,3,0.48174988896386267,0.18337940705356606,0.0022592000022996217
62,N,New_N_063.wav,14-8-5-3,4,0.3623569941036674,126x3,3x212,14,0.042749136134145105,0.3928493315303629,0.008824100004858337,8,0.20906672601966125,0.23177428383787593,0.00349879999703262,5,0.3229761640530498,0.2257547965866486,0.0024952000021585263,3,0.4333417049567243,0.17029397442558017,0.002250999998068437
63,N,New_N_064.wav,14-8-5-3,4,0.39088380156819935,126x3,3x212,14,0.038608466588550945,0.41781614883940393,0.009696100001747254,8,0.28784253634741847,0.204270541522106,0.0032869999995455146,5,0.39300710418050006,0.1690827392563025,0.002603500004624948,3,0.5234117411463839,0.17173968367304582,0.0028875999996671453
64,N,New_N_065.wav,14-8-5-3,4,0.3742815147623638,126x3,3x212,14,0.04780680900729008,0.42255571080685156,0.00963449999835575,8,0.2460646495823491,0.21107041657627987,0.0028891000038129278,5,0.4131548923081504,0.19612006906056642,0.002429700005450286,3,0.4829202025943474,0.18858476353456013,0.002256100000522565
65,N,New_N_066.wav,14-8-5-3,4,0.47094289513116466,126x3,3x212,14,0.04349454221579636,0.37954538726379444,0.008814400003757328,8,0.2324983427974336,0.14542775422061735,0.0032910999943851493,5,0.4173762323083246,0.18134063054247765,0.0022486000016215257,3,0.4234684789887687,0.20012388429495132,0.0020416000043042004
66,N,New_N_067.wav,14-8-5-3,4,0.4133619041284148,126x3,3x212,14,0.039583168652100244,0.40995511624125214,0.009215699996275362,8,0.1611743920018443,0.18307032849927504,0.0027964999972027726,5,0.327714403447346,0.13451370351158826,0.002340599996387027,3,0.48401936304810483,0.1561085962232046,0.002175800000259187
67,N,New_N_068.wav,14-8-5-3,4,0.4265438690640708,126x3,3x212,14,0.046249322172779675,0.36677224164047634,0.009585900006641168,8,0.23705372498631494,0.2002457931974248,0.0030215000006137416,5,0.3742783266307784,0.18773306490154512,0.0028774000020348467,3,0.3822132153432402,0.1567901742097836,0.002203200005169492
68,N,New_N_069.wav,14-8-5-3,4,0.3933206489488182,126x3,3x212,14,0.05864163126589251,0.3833487443930062,0.008079899998847395,8,0.2344586288764758,0.22898046523374502,0.003383900002518203,5,0.34398736332288343,0.16674767867505574,0.0022303000005194917,3,0.3697791527464228,0.13709519732386655,0.002127300002030097
69,N,New_N_070.wav,14-8-5-3,4,0.3970017030392802,126x3,3x212,14,0.046949718061157115,0.37410725788878235,0.00868359999731183,8,0.2982360984293372,0.16747748098465245,0.004200199997285381,5,0.43400273985366605,0.1631161749703516,0.0024572999973315746,3,0.497183644443428,0.18379423946308696,0.002065000000584405
70,N,New_N_071.wav,14-8-5-3,4,0.41482377750603544,126x3,3x212,14,0.04803769970912904,0.3873909009857435,0.008389200003875885,8,0.2746580473489972,0.23270961753940614,0.004372600000351667,5,0.3692284798085695,0.14804794597559143,0.0024508999995305203,3,0.4357064954394703,0.16447612121874092,0.002203600000939332
71,N,New_N_072.wav,14-8-5-3,4,0.410302372321484,126x3,3x212,14,0.04569751056359536,0.41416836210575675,0.008292500002426095,8,0.1992562317646914,0.1506413415553399,0.0027992999966954812,5,0.41341821666100426,0.15384797108623033,0.002304199995705858,3,0.5144344478756223,0.19806069288806913,0.002089399997203145
72,N,New_N_073.wav,14-8-5-3,4,0.450466883923655,126x3,3x212,14,0.04658729209751881,0.3504036748030711,0.008760899996559601,8,0.2146076535346244,0.2207049614683763,0.0035575000001699664,5,0.2539103173187449,0.20456244665180687,0.0021694999959436245,3,0.31607418636272455,0.14171769072302545,0.0019786999982898124
73,N,New_N_074.wav,14-8-5-3,4,0.4019237367156438,126x3,3x212,14,0.05603078083337606,0.38515086581085917,0.008712099996046163,8,0.2786885117260778,0.18540575728191136,0.0030825000067125075,5,0.4420318966925531,0.1719432631896179,0.002161599993996788,3,0.4248980728565597,0.1431682545288712,0.0019874999998137355
74,N,New_N_075.wav,14-8-5-3,4,0.3438578920219246,126x3,3x212,14,0.045140546435751376,0.3676094483637966,0.007798900005582254,8,0.2478339163896848,0.1948465377667299,0.002513100000214763,5,0.3974641660152045,0.149603761842579,0.0021558000007644296,3,0.533825870743873,0.18179476858280544,0.002008600000408478
75,N,New_N_076.wav,14-8-5-3,4,0.4241156333481725,126x3,3x212,14,0.053041500737647136,0.3655368609188283,0.0082477000032668,8,0.27650351089217107,0.1738916860101281,0.0028180000008433126,5,0.40076366833667765,0.13847258402553592,0.0022078000038163736,3,0.5022360370087302,0.15927283639163867,0.0020268000007490627
76,N,New_N_077.wav,14-8-5-3,4,0.3240023177501268,126x3,3x212,14,0.047952198164736254,0.4281464007778791,0.008507600003213156,8,0.22755734690021037,0.2123324850480714,0.002999200005433522,5,0.3602489732677121,0.17232326075626275,0.0021363999985624105,3,0.47538205810990847,0.18378133597325477,0.0019888000024366193
