indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
47,SNR_0db,N,New_N_048.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.33823705698299755,8x212,0.025092900032177567,14,0.27272813957700526,0.32534552892447943,0.016045300057157874,11,0.11541613552189205,0.33194779312529826,0.005421799956820905,8,0.11940352487280313,0.34968903797925854,0.002904399996623397
48,SNR_0db,N,New_N_049.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3421911010232108,8x212,0.0227410999359563,14,0.27685473045291004,0.33404200051637517,0.015274200006388128,11,0.1209625341011941,0.35111675861491587,0.003877400071360171,8,0.12293783713713127,0.35279746469885065,0.002827799995429814
49,SNR_0db,N,New_N_050.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34185769301730307,8x212,0.02497659996151924,14,0.2765426059877498,0.3125084723947038,0.016135600046254694,11,0.11935517599179482,0.3255528788687768,0.004333099932409823,8,0.12322345009394986,0.33927656645082765,0.0033718000631779432
50,SNR_0db,N,New_N_051.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3370282008206923,8x212,0.02389249997213483,14,0.2721379791593934,0.31724918150882203,0.01613760006148368,11,0.11378437740796585,0.33213497331600556,0.003960800007916987,8,0.12067525051776645,0.337036864399684,0.0028571999864652753
51,SNR_0db,N,New_N_052.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34239190304470674,8x212,0.02437550004106015,14,0.2767827697462044,0.3300165795890758,0.016116000013425946,11,0.11752188349162067,0.336570592134208,0.004343100008554757,8,0.1223535392814533,0.3526910199422633,0.0031163000967353582
52,SNR_0db,N,New_N_053.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3460380767767875,8x212,0.024084700038656592,14,0.2793972128914765,0.31707893728783604,0.01604719995521009,11,0.11739784393476659,0.32551832127055513,0.004228100064210594,8,0.12191913282658721,0.33630308894431316,0.003002000041306019
53,SNR_0db,N,New_N_054.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3432854169540543,8x212,0.0255550000583753,14,0.27600681736287946,0.3195564480986213,0.016915799933485687,11,0.11721944757785537,0.3294233628249746,0.004273799946531653,8,0.1245637409508506,0.34213137127913523,0.0034072999842464924
54,SNR_0db,N,New_N_055.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34460007741244253,8x212,0.02581659995485097,14,0.27905862382738,0.31771763994507624,0.01728749996982515,11,0.11784654563278145,0.33012176284241646,0.004530699923634529,8,0.1192955704681572,0.3422902888230742,0.003172399941831827
55,SNR_0db,N,New_N_056.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3400594336946944,8x212,0.025648499955423176,14,0.2733782454788966,0.3131856673300705,0.01688699994701892,11,0.11610764552476145,0.32115119599936065,0.00456800009123981,8,0.12410602796147363,0.33687040524471523,0.003236600081436336
56,SNR_0db,N,New_N_057.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3365979827795628,8x212,0.023204399971291423,14,0.27177564773229757,0.32382244119154036,0.015469400095753372,11,0.11361215796605752,0.33573378115782326,0.004047399968840182,8,0.119813827759942,0.3460808164699891,0.0029202000005170703
