indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
621,SNR_-8db,MS,New_MS_022.wav,16-10-6,DeepONMF_H3,3,0.45234834168171406,6x212,0.014848000020720065,16,0.3635285853745901,0.2991931670772268,0.008203799952752888,10,0.4088989574672379,0.2317930141796638,0.003338899929076433,6,0.4533994739494644,0.2171509758413449,0.0026071000611409545
622,SNR_-8db,MS,New_MS_023.wav,16-10-6,DeepONMF_H3,3,0.44890989630677136,6x212,0.01584709994494915,16,0.35438898999249213,0.33172780043195826,0.008605999988503754,10,0.41115587553158395,0.27327097098129616,0.0036982999881729484,6,0.46761987846605707,0.25703912012756985,0.0027579000452533364
623,SNR_-8db,MS,New_MS_024.wav,16-10-6,DeepONMF_H3,3,0.44276941853041246,6x212,0.015526499948464334,16,0.3575228623936154,0.3069535803160972,0.00847040000371635,10,0.39489656727759775,0.2510311399718822,0.0036169999511912465,6,0.44009771539409887,0.24699992008710672,0.0026841999497264624
624,SNR_-8db,MS,New_MS_025.wav,16-10-6,DeepONMF_H3,3,0.445476794563009,6x212,0.01557170005980879,16,0.3589274995975092,0.302515604446918,0.007857899996452034,10,0.4069078850422984,0.2452398210231334,0.004191100015304983,6,0.4556328466153357,0.2328617828758066,0.0026809999253600836
625,SNR_-8db,MS,New_MS_026.wav,16-10-6,DeepONMF_H3,3,0.4610116180279614,6x212,0.014920299989171326,16,0.3659772903047333,0.2970604241381257,0.0075789999682456255,10,0.4599531512737831,0.2505074874988366,0.004030099953524768,6,0.4831017794801538,0.2658720901409609,0.0025059999898076057
626,SNR_-8db,MS,New_MS_027.wav,16-10-6,DeepONMF_H3,3,0.45928907709746547,6x212,0.01438210008200258,16,0.36000635759338373,0.30966897326505044,0.0076286999974399805,10,0.41670923516755665,0.24888488406939224,0.003294500056654215,6,0.41915961193221785,0.21176639236816028,0.002762500080280006
627,SNR_-8db,MS,New_MS_028.wav,16-10-6,DeepONMF_H3,3,0.4466673379695163,6x212,0.01392709999345243,16,0.3629464034013087,0.3103352074801882,0.0074606999987736344,10,0.395856217563576,0.2667328930236993,0.0030807999428361654,6,0.4292662958229289,0.27158627623886517,0.0025378999998793006
628,SNR_-8db,MS,New_MS_029.wav,16-10-6,DeepONMF_H3,3,0.44001567732280883,6x212,0.013827600050717592,16,0.3596185015235127,0.32419899396171076,0.007644600002095103,10,0.3920497461167525,0.2706114306303237,0.0031083000358194113,6,0.4261126042355935,0.27033373341132794,0.002418200019747019
629,SNR_-8db,MS,New_MS_030.wav,16-10-6,DeepONMF_H3,3,0.4453538026515406,6x212,0.014771500020287931,16,0.360958317149058,0.2879812905163758,0.007812099996954203,10,0.4207513135513574,0.23191782819295884,0.0037118999753147364,6,0.4662269061844341,0.2147571423881311,0.002422699937596917
630,SNR_-8db,MS,New_MS_031.wav,16-10-6,DeepONMF_H3,3,0.4559171127171645,6x212,0.014313899911940098,16,0.3630427528659275,0.3064901229092855,0.007600499899126589,10,0.4327652698843535,0.24051148208346934,0.003239199984818697,6,0.46263314781683884,0.2312290635203933,0.002509400015696883
631,SNR_-8db,MS,New_MS_032.wav,16-10-6,DeepONMF_H3,3,0.44764613530633934,6x212,0.01465889997780323,16,0.3616994531525024,0.31370862407961275,0.00764059997163713,10,0.3991923582135483,0.24161438358026224,0.003715099999681115,6,0.4326486986179471,0.21363327853033112,0.002544199931435287
632,SNR_-8db,MS,New_MS_033.wav,16-10-6,DeepONMF_H3,3,0.4504688266955499,6x212,0.014531200053170323,16,0.3650230558549296,0.31049579417648027,0.007474799989722669,10,0.40449767008934334,0.264571001514466,0.003854100010357797,6,0.46132151400090576,0.2520158606348942,0.0025194999761879444
633,SNR_-8db,MS,New_MS_034.wav,16-10-6,DeepONMF_H3,3,0.4488940224509371,6x212,0.014277600101195276,16,0.3584538650164078,0.2925192886451844,0.007327000028453767,10,0.44156126601360024,0.20856509539316181,0.003526100073941052,6,0.4835494548898238,0.16768934377071917,0.00266850006300956
634,SNR_-8db,MS,New_MS_035.wav,16-10-6,DeepONMF_H3,3,0.4509352368768717,6x212,0.01434490003157407,16,0.35841017438232314,0.3227935027044589,0.007258900091983378,10,0.4107026288712157,0.24965535176653145,0.0037305000005289912,6,0.4359377857739515,0.23063979556711406,0.0024015000090003014
635,SNR_-8db,MS,New_MS_036.wav,16-10-6,DeepONMF_H3,3,0.4521520431247225,6x212,0.014661199995316565,16,0.3590050867523671,0.30571902032162834,0.008069499977864325,10,0.40910470906733604,0.270169522838728,0.0033234000438824296,6,0.45373372941453854,0.2551938867198676,0.0024006000021472573
636,SNR_-8db,MS,New_MS_037.wav,16-10-6,DeepONMF_H3,3,0.442936358281035,6x212,0.014831600012257695,16,0.35742914916584634,0.297324407599041,0.007643399992957711,10,0.39483230642659467,0.25790726103020906,0.00403160008136183,6,0.4251015967093365,0.23065070365498772,0.002451400039717555
637,SNR_-8db,MS,New_MS_038.wav,16-10-6,DeepONMF_H3,3,0.4530252196886754,6x212,0.014963099965825677,16,0.3557950164442788,0.3295235201761437,0.008519700029864907,10,0.45439610739633113,0.21887358093294448,0.0033222000347450376,6,0.44964271615154316,0.18929202605886497,0.002427800092846155
638,SNR_-8db,MS,New_MS_039.wav,16-10-6,DeepONMF_H3,3,0.4509202648562545,6x212,0.014514700043946505,16,0.3563831393230687,0.3242904436652695,0.007492900011129677,10,0.3967295482707694,0.28489653619732763,0.003156400052830577,6,0.45264882065506096,0.24383878307730458,0.0024281999794766307
639,SNR_-8db,MS,New_MS_040.wav,16-10-6,DeepONMF_H3,3,0.4440636473320176,6x212,0.014888399979099631,16,0.3666805678745538,0.2940654319068322,0.00850760005414486,10,0.41518955498981985,0.2528031010269481,0.0032462000381201506,6,0.4339278249680845,0.22035608263693193,0.002446400001645088
640,SNR_-8db,MS,New_MS_041.wav,16-10-6,DeepONMF_H3,3,0.4529507010368574,6x212,0.014644700102508068,16,0.35974694546250136,0.2892793583629085,0.0072067000437527895,10,0.4066393318453551,0.24931097382168738,0.004127100110054016,6,0.46430963773992057,0.22544215324324643,0.002528600045479834
641,SNR_-8db,MS,New_MS_042.wav,16-10-6,DeepONMF_H3,3,0.4543905037729312,6x212,0.01445160002913326,16,0.3586681886336667,0.31580916387811314,0.007799900020472705,10,0.44738916711271726,0.21313102834079214,0.003170599928125739,6,0.49201223386921183,0.21715973457170012,0.002639999962411821
642,SNR_-8db,MS,New_MS_043.wav,16-10-6,DeepONMF_H3,3,0.45531314316844823,6x212,0.014017799985595047,16,0.35968444959977935,0.308701247698366,0.007469999953173101,10,0.4098520204276088,0.2622168107517213,0.003027800004929304,6,0.47125570571487624,0.20737722780489243,0.0026808000402525067
643,SNR_-8db,MS,New_MS_044.wav,16-10-6,DeepONMF_H3,3,0.44968041040924295,6x212,0.014434600016102195,16,0.35752576267926206,0.3088701593796148,0.007623099954798818,10,0.44649309645913793,0.23846260313077028,0.003540600067935884,6,0.43994252409538737,0.2288058940434701,0.002621099934913218
644,SNR_-8db,MS,New_MS_045.wav,16-10-6,DeepONMF_H3,3,0.442901112095094,6x212,0.013958800002001226,16,0.3607517473249122,0.30635027465229375,0.0077043999917805195,10,0.39271478396131126,0.25530716315081103,0.003120899898931384,6,0.4226058384858241,0.22720052627436355,0.002418600022792816
