inicializacion,metodo,clase,archivo,ruta,duracion_s,tramas_pcg,columnas_matriz_x,forma_w_final,error_final,segundos,capa1_error,capa1_ortogonalidad,capa1_segundos,capa2_error,capa2_ortogonalidad,capa2_segundos,capa3_error,capa3_ortogonalidad,capa3_segundos
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_016.wav,3.201375,2,424,126x7,0.10889870919226186,0.038790500024333596,0.04590572591599581,0.5266770729629469,0.02208909997716546,0.09441631697959334,0.2967976683736869,0.008085699984803796,0.19632349664258808,0.17694115224059545,0.008087400114163756
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_017.wav,2.273125,1,212,126x7,0.118549915486916,0.027896600076928735,0.06136699843084412,0.6605068784392576,0.01441259984858334,0.15464136295548486,0.3639181822312666,0.0067773000337183475,0.21803056780479263,0.24349813333252765,0.00616810005158186
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_018.wav,2.254125,1,212,126x7,0.11584430133546678,0.026827799854800105,0.05454163852631456,0.6532086825780608,0.01361760008148849,0.15931707726426822,0.35226487584156574,0.005810600006952882,0.25642313421155577,0.25383554874883674,0.006916299927979708
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_019.wav,2.28425,1,212,126x7,0.10993683948283162,0.02629419998265803,0.05630611993870758,0.6715659753676054,0.013905799947679043,0.11218511201444394,0.3213375643582426,0.0060945001896470785,0.22413249874851846,0.19070398380805237,0.005877999821677804
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_020.wav,2.2715,1,212,126x7,0.10958116590450612,0.025909099960699677,0.05794014501984245,0.6653755588522863,0.013406499987468123,0.16241315927460923,0.3364237160118175,0.006300899898633361,0.22462026223049456,0.20381742743031572,0.005745799979194999
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_021.wav,2.07875,1,212,126x7,0.13993829105085442,0.025508100166916847,0.06574796863242606,0.5800440199370427,0.013682299992069602,0.13149602669223587,0.32525807480101204,0.005685599986463785,0.2340589171780719,0.2256776339463965,0.00577980000525713
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_022.wav,2.0185,1,212,126x7,0.13146141938653327,0.026554099982604384,0.05334591548691949,0.5820655223950829,0.014014400076121092,0.1342637010555162,0.33221141184895625,0.0062744999304413795,0.23718714721101394,0.20966713098017115,0.005854699993506074
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_023.wav,2.0775,1,212,126x7,0.12583217877123898,0.026508500101044774,0.057781774424380615,0.5672958866519695,0.013305099913850427,0.16231176810900425,0.3122486969593382,0.006065899971872568,0.2239852427822276,0.21889685417335536,0.006645999848842621
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_024.wav,2.042875,1,212,126x7,0.1283395409866871,0.02669700002297759,0.06050021746809375,0.5765316851583905,0.014182099839672446,0.13872923000547838,0.32461988604469244,0.006050999974831939,0.229010782961033,0.2172443335918091,0.006011100020259619
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_025.wav,2.035625,1,212,126x7,0.11789485435508612,0.025978599907830358,0.05739075080539614,0.5814092238411718,0.013712399872019887,0.12199764582416851,0.3131870809493734,0.005819100188091397,0.22165675228053808,0.19829779590538918,0.005986799951642752
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_026.wav,2.032875,1,212,126x7,0.13276208464789047,0.025638499995693564,0.05689775548760204,0.564808297963213,0.013539900071918964,0.16206233138652543,0.3294917871241775,0.005993200000375509,0.21619751435613685,0.2209325812704687,0.005680999951437116
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_027.wav,2.0905,1,212,126x7,0.1287163936631727,0.025613199919462204,0.051434546907260306,0.5823019740464278,0.013642699923366308,0.1525075409269751,0.3378139832592647,0.005754200043156743,0.22735012791595804,0.2258211238931958,0.005759600084275007
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_028.wav,2.0905,1,212,126x7,0.12538900899454025,0.02587500005029142,0.0558025469020143,0.6004159767222763,0.013575899880379438,0.1454918000863138,0.32384005732533644,0.0059588998556137085,0.23158373136309982,0.21210931164175617,0.005941899958997965
