indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
59,SNR_0db,N,New_N_060.wav,10,DeepONMF_H1,1,0.3077721936270786,10x212,0.007227399968542159,10,0.3077721936270786,0.2731019328041809,0.006623400026001036
60,SNR_0db,N,New_N_061.wav,10,DeepONMF_H1,1,0.30125069378624075,10x212,0.007303399965167046,10,0.30125069378624075,0.29142488096651803,0.006736199953593314
61,SNR_0db,N,New_N_062.wav,10,DeepONMF_H1,1,0.3061608851039111,10x212,0.0070584999630227685,10,0.3061608851039111,0.23946504763237744,0.006433999980799854
62,SNR_0db,N,New_N_063.wav,10,DeepONMF_H1,1,0.30231183711712206,10x212,0.007738300017081201,10,0.30231183711712206,0.24150128336080814,0.006927000009454787
63,SNR_0db,N,New_N_064.wav,10,DeepONMF_H1,1,0.3075321733100252,10x212,0.007564299972727895,10,0.3075321733100252,0.22391733577492443,0.006663299980573356
64,SNR_0db,N,New_N_065.wav,10,DeepONMF_H1,1,0.30089293569293,10x212,0.007260600104928017,10,0.30089293569293,0.2771120850879998,0.006408400018699467
65,SNR_0db,N,New_N_066.wav,10,DeepONMF_H1,1,0.3027113670942996,10x212,0.007815200020559132,10,0.3027113670942996,0.284119078915314,0.007003900012932718
66,SNR_0db,N,New_N_067.wav,10,DeepONMF_H1,1,0.3021643204840625,10x212,0.0072691000532358885,10,0.3021643204840625,0.2800445686509052,0.006514500011689961
67,SNR_0db,N,New_N_068.wav,10,DeepONMF_H1,1,0.31044394582031953,10x212,0.008130499976687133,10,0.31044394582031953,0.30657204192468845,0.007277299999259412
68,SNR_0db,N,New_N_069.wav,10,DeepONMF_H1,1,0.3038690492422111,10x212,0.006879499997012317,10,0.3038690492422111,0.23485186410957648,0.006330300006084144
69,SNR_0db,N,New_N_070.wav,10,DeepONMF_H1,1,0.3054530099853719,10x212,0.00731749995611608,10,0.3054530099853719,0.23760817315381075,0.006776000023819506
70,SNR_0db,N,New_N_071.wav,10,DeepONMF_H1,1,0.3046528638922776,10x212,0.00678119994699955,10,0.3046528638922776,0.28885724144820574,0.006281399982981384
71,SNR_0db,N,New_N_072.wav,10,DeepONMF_H1,1,0.3110536191684884,10x212,0.007145100040361285,10,0.3110536191684884,0.27016410283321957,0.006434099981561303
