distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
10-8-6,3,SVM,DeepONMF_W,0.8888,0.0072938330115242,0.7220000000000001,0.0182345825288104,0.9305,0.0045586456322026,0.7247861708576034,0.0202414490594033,0.8262499999999999,0.0113966140805065
10-8-6,3,UjaNet,DeepONMF_H3,0.9772,0.0064187226143524,0.943,0.0160468065358812,0.98575,0.0040117016339703,0.9438282215704372,0.016637313849809,0.964375,0.0100292540849257
10-8-6,3,UjaNet,DeepONMF_W,0.9396,0.0116103402189599,0.849,0.0290258505473999,0.96225,0.0072564626368499,0.8540252534395606,0.0297508262950563,0.905625,0.0181411565921249
10-8-6-4,4,KNN,DeepONMF_H4,0.9252,0.0071554175279993,0.813,0.0178885438199983,0.95325,0.0044721359549995,0.8321882622475834,0.020529172492014,0.883125,0.0111803398874989
10-8-6-4,4,KNN,DeepONMF_W,0.8635999999999999,0.0077974354758471,0.659,0.0194935886896179,0.91475,0.0048733971724044,0.6932310528214952,0.0158816427870434,0.786875,0.0121834929310112
10-8-6-4,4,SVM,DeepONMF_H4,0.96,0.0066332495807108,0.9,0.0165831239517769,0.975,0.0041457809879441,0.9030323777747782,0.0173782669941182,0.9375,0.0103644524698606
10-8-6-4,4,SVM,DeepONMF_W,0.8956,0.0079246451024635,0.7390000000000001,0.0198116127561589,0.93475,0.0049529031890396,0.7566903456429561,0.0176256121043496,0.836875,0.0123822579725993
10-8-6-4,4,UjaNet,DeepONMF_H4,0.9724,0.0072663608498339,0.931,0.018165902124585,0.98275,0.0045414755311461,0.9323853909179228,0.0170420532744319,0.956875,0.0113536888278655
10-8-6-4,4,UjaNet,DeepONMF_W,0.942,0.0154272486205415,0.8550000000000001,0.0385681215513538,0.96375,0.0096420303878384,0.8619470936945277,0.0378916104459415,0.909375,0.0241050759695961
10-9,2,KNN,DeepONMF_H2,0.9048,0.0135351394525509,0.762,0.0338378486313772,0.9405,0.0084594621578443,0.8000227324861651,0.0123575056232739,0.85125,0.0211486553946107
10-9,2,KNN,DeepONMF_W,0.7904,0.0179666357451805,0.476,0.0449165893629514,0.869,0.0112291473407378,0.4980448905278109,0.0408006838060691,0.6725000000000001,0.0280728683518446
10-9,2,SVM,DeepONMF_H2,0.954,0.004,0.8850000000000001,0.0099999999999999,0.97125,0.0024999999999999,0.889471430676287,0.0100647500617287,0.928125,0.00625
10-9,2,SVM,DeepONMF_W,0.8684000000000001,0.01161034021896,0.671,0.0290258505473999,0.91775,0.0072564626368499,0.666772787142025,0.0325276160792546,0.7943749999999999,0.0181411565921249
10-9,2,UjaNet,DeepONMF_H2,0.9768,0.0111892805845594,0.942,0.0279732014613987,0.9855,0.0069933003653496,0.9433074627021312,0.0270330701256337,0.96375,0.0174832509133742
10-9,2,UjaNet,DeepONMF_W,0.9276,0.0021908902300206,0.819,0.0054772255750516,0.95475,0.0013693063937629,0.8282541979508056,0.0055850290705519,0.8868750000000001,0.0034232659844073
10-9-7-5,4,KNN,DeepONMF_H4,0.9156,0.0105261578935526,0.7889999999999999,0.0263153947338816,0.94725,0.0065788486834704,0.8194573000754328,0.021720168390685,0.868125,0.0164471217086759
10-9-7-5,4,KNN,DeepONMF_W,0.8464,0.0139570770578943,0.616,0.0348926926447357,0.904,0.0087231731611839,0.6483196938272282,0.03462844759456,0.76,0.0218079329029598
10-9-7-5,4,SVM,DeepONMF_H4,0.9508,0.0104498803820904,0.877,0.0261247009552261,0.96925,0.0065311752388065,0.8822528998004229,0.0285403559200769,0.923125,0.0163279380970164
10-9-7-5,4,SVM,DeepONMF_W,0.8927999999999999,0.005761944116355,0.732,0.0144048602908879,0.933,0.0036012150727219,0.7404679273294559,0.0157159469332423,0.8324999999999999,0.0090030376818049
10-9-7-5,4,UjaNet,DeepONMF_H4,0.9724,0.0077974354758471,0.931,0.019493588689618,0.98275,0.0048733971724045,0.9314184868428532,0.0198730674758817,0.956875,0.0121834929310112
10-9-7-5,4,UjaNet,DeepONMF_W,0.9424,0.0140996453856116,0.8559999999999999,0.035249113464029,0.964,0.0088122783660073,0.8607728807839475,0.0351029101495055,0.91,0.0220306959150182
10-9-7-5-3,5,KNN,DeepONMF_H5,0.9336,0.0089888820216977,0.834,0.0224722050542442,0.9585,0.005618051263561,0.8474202872179045,0.0247392140531291,0.89625,0.0140451281589026
10-9-7-5-3,5,KNN,DeepONMF_W,0.868,0.0094868329805051,0.67,0.0237170824512628,0.9175,0.0059292706128157,0.702042899711958,0.0294094813028211,0.79375,0.0148231765320392
10-9-7-5-3,5,SVM,DeepONMF_H5,0.9568,0.0096540147089176,0.892,0.0241350367722943,0.973,0.0060337591930736,0.8935001079949441,0.0254974267026655,0.9325,0.0150843979826839
