indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
226,SNR_-5db,NMF,7,1,0.0,True,0.3690899736370943,7x212,126x7,0.025899600004777312
227,SNR_-5db,NMF,7,1,0.0,True,0.3766706364422377,7x212,126x7,0.02609860012307763
228,SNR_-5db,NMF,7,1,0.0,True,0.371048964473938,7x212,126x7,0.029739399906247854
229,SNR_-5db,NMF,7,1,0.0,True,0.37516015200779473,7x212,126x7,0.029183999868109822
230,SNR_-5db,NMF,7,1,0.0,True,0.3795447471572077,7x212,126x7,0.030622599879279733
231,SNR_-5db,NMF,7,1,0.0,True,0.3705419235213707,7x212,126x7,0.029441599966958165
232,SNR_-5db,NMF,7,1,0.0,True,0.36991914752679234,7x212,126x7,0.03017439995892346
233,SNR_-5db,NMF,7,1,0.0,True,0.3759197856969415,7x212,126x7,0.032477800035849214
234,SNR_-5db,NMF,7,1,0.0,True,0.37508052828812793,7x212,126x7,0.027459299890324473
235,SNR_-5db,NMF,7,1,0.0,True,0.37985785932547245,7x212,126x7,0.053254400147125125
236,SNR_-5db,NMF,7,1,0.0,True,0.3772261675345481,7x212,126x7,0.027484599966555834
237,SNR_-5db,NMF,7,1,0.0,True,0.37038218459117406,7x212,126x7,0.025423800107091665
238,SNR_-5db,NMF,7,1,0.0,True,0.37514288277298563,7x212,126x7,0.03137179999612272
239,SNR_-5db,NMF,7,1,0.0,True,0.3778814470446691,7x212,126x7,0.026961900060996413
240,SNR_-5db,NMF,7,1,0.0,True,0.37555803594410136,7x212,126x7,0.02558709983713925
241,SNR_-5db,NMF,7,1,0.0,True,0.37285274822861286,7x212,126x7,0.029820399824529886
242,SNR_-5db,NMF,7,1,0.0,True,0.37593423944525317,7x212,126x7,0.02803940000012517
243,SNR_-5db,NMF,7,1,0.0,True,0.3727455677168292,7x212,126x7,0.03192140022292733
244,SNR_-5db,NMF,7,1,0.0,True,0.3732100272473515,7x212,126x7,0.029410500079393387
245,SNR_-5db,NMF,7,1,0.0,True,0.3722887992762175,7x212,126x7,0.05623129988089204
246,SNR_-5db,NMF,7,1,0.0,True,0.3756737768260939,7x212,126x7,0.025988500099629164
247,SNR_-5db,NMF,7,1,0.0,True,0.2863837971829539,7x212,126x7,0.028191600227728486
248,SNR_-5db,NMF,7,1,0.0,True,0.3742270215020004,7x212,126x7,0.029156100004911423
249,SNR_-5db,NMF,7,1,0.0,True,0.36936004336375183,7x212,126x7,0.028527199989184737
250,SNR_-5db,NMF,7,1,0.0,True,0.37718964128041577,7x212,126x7,0.029181600082665682
251,SNR_-5db,NMF,7,1,0.0,True,0.37591899013592683,7x212,126x7,0.027692999923601747
252,SNR_-5db,NMF,7,1,0.0,True,0.36988795447213724,7x212,126x7,0.029337699990719557
253,SNR_-5db,NMF,7,1,0.0,True,0.3788077248458526,7x212,126x7,0.03075819998048246
254,SNR_-5db,NMF,7,1,0.0,True,0.38008730175819166,7x212,126x7,0.030385599937289953
255,SNR_-5db,NMF,7,1,0.0,True,0.36915904833378965,7x212,126x7,0.06227639992721379
256,SNR_-5db,NMF,7,1,0.0,True,0.37840532750362055,7x212,126x7,0.035981500055640936
257,SNR_-5db,NMF,7,1,0.0,True,0.37518492860603403,7x212,126x7,0.03251229994930327
