indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
152,original,ONMF,22-15-10,3,0.05,0.18264112915942463,10x212,126x10,0.03219679999165237
153,original,ONMF,22-15-10,3,0.05,0.179561607810707,10x212,126x10,0.03327949997037649
154,original,ONMF,22-15-10,3,0.05,0.17935330408274275,10x212,126x10,0.033700100029818714
155,original,ONMF,22-15-10,3,0.05,0.18205014055791988,10x212,126x10,0.03086029994301498
156,original,ONMF,22-15-10,3,0.05,0.1783569888619061,10x212,126x10,0.03190830000676215
157,original,ONMF,22-15-10,3,0.05,0.18264048102613115,10x212,126x10,0.03055820008739829
158,original,ONMF,22-15-10,3,0.05,0.1822673978565525,10x212,126x10,0.032141200033947825
159,original,ONMF,22-15-10,3,0.05,0.1835880993137224,10x212,126x10,0.03104100003838539
160,original,ONMF,22-15-10,3,0.05,0.184517173922155,10x212,126x10,0.02995210001245141
161,original,ONMF,22-15-10,3,0.05,0.18377722654677142,10x212,126x10,0.033133799908682704
162,original,ONMF,22-15-10,3,0.05,0.18239703719111133,10x212,126x10,0.031369399977847934
163,original,ONMF,22-15-10,3,0.05,0.1839732535742761,10x212,126x10,0.032563199987635016
164,original,ONMF,22-15-10,3,0.05,0.18422666541801422,10x212,126x10,0.03232579992618412
165,original,ONMF,22-15-10,3,0.05,0.18663481247861247,10x212,126x10,0.029982700012624264
166,original,ONMF,22-15-10,3,0.05,0.1829084441761808,10x212,126x10,0.031008000019937754
167,original,ONMF,22-15-10,3,0.05,0.18560754173853358,10x212,126x10,0.030846400070004165
168,original,ONMF,22-15-10,3,0.05,0.18316575912484967,10x212,126x10,0.03078330005519092
169,original,ONMF,22-15-10,3,0.05,0.18782311073085298,10x212,126x10,0.0315888999029994
170,original,ONMF,22-15-10,3,0.05,0.18424320974139008,10x212,126x10,0.033347200020216405
171,original,ONMF,22-15-10,3,0.05,0.18442047121805558,10x212,126x10,0.03190639999229461
172,original,ONMF,22-15-10,3,0.05,0.18583364579106706,10x212,126x10,0.032720600022003055
173,original,ONMF,22-15-10,3,0.05,0.18725861251312284,10x212,126x10,0.02980089990887791
174,original,ONMF,22-15-10,3,0.05,0.18520935487849916,10x212,126x10,0.03328410000540316
175,original,ONMF,22-15-10,3,0.05,0.1832918317501101,10x212,126x10,0.03142150002531707
176,original,ONMF,22-15-10,3,0.05,0.1831555892403478,10x212,126x10,0.031695200013928115
177,original,ONMF,22-15-10,3,0.05,0.1869988654087438,10x212,126x10,0.03211110003758222
178,original,ONMF,22-15-10,3,0.05,0.18097111880167058,10x212,126x10,0.02999080007430166
179,original,ONMF,22-15-10,3,0.05,0.18502143360712195,10x212,126x10,0.03323260007891804
180,original,ONMF,22-15-10,3,0.05,0.18675889513754507,10x212,126x10,0.03331490000709891
181,original,ONMF,22-15-10,3,0.05,0.18368067912759556,10x212,126x10,0.030007299967110157
182,original,ONMF,22-15-10,3,0.05,0.1829803602466933,10x212,126x10,0.03282319998834282
183,original,ONMF,22-15-10,3,0.05,0.17949511828090403,10x212,126x10,0.029957199934870005
184,original,ONMF,22-15-10,3,0.05,0.1829050217061756,10x212,126x10,0.029922200017608702
185,original,ONMF,22-15-10,3,0.05,0.18468492772641448,10x212,126x10,0.031034499988891184
186,original,ONMF,22-15-10,3,0.05,0.18329126902575402,10x212,126x10,0.02948090003337711
187,original,ONMF,22-15-10,3,0.05,0.18352466840600273,10x212,126x10,0.03026010002940893
188,original,ONMF,22-15-10,3,0.05,0.18339410675935863,10x212,126x10,0.03312270005699247
189,original,ONMF,22-15-10,3,0.05,0.18492665218836807,10x212,126x10,0.0316118000773713
190,original,ONMF,22-15-10,3,0.05,0.18390790386853648,10x212,126x10,0.03204160009045154
191,original,ONMF,22-15-10,3,0.05,0.18504269194339484,10x212,126x10,0.030464400071650743
