indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
168,2-7-24,3,0.1925715343049364,24x212,0.022252599999774247,2,0.1473885635210019,0.2218533296223742,7,0.04645124205406928,0.22413828633864027,24,0.04086505915403991,0.11851667826229073
169,2-7-24,3,0.1798732146811243,24x212,0.029166599997552112,2,0.13249540447508787,0.3043292056138438,7,0.044020887331876146,0.21479641927275925,24,0.035010604490365534,0.19434130613225226
170,2-7-24,3,0.2091634097041696,24x212,0.02168609999353066,2,0.1685059472712605,0.1351270563878904,7,0.04126551114835695,0.11765198825093405,24,0.040800967576587396,0.1482700315151362
171,2-7-24,3,0.21715109090856274,24x212,0.023037000006297603,2,0.17694205474054603,0.12109347695835812,7,0.04388628714898093,0.17491923982367732,24,0.042865370683396,0.17843831654420245
172,2-7-24,3,0.19041481704704782,24x212,0.022282799996901304,2,0.1522908599345884,0.22144058466003977,7,0.037582343731515575,0.21777508158519002,24,0.03621266141393473,0.16305791400289296
173,2-7-24,3,0.19833330174124175,24x212,0.024663999996846542,2,0.15895328842805848,0.1442824923960754,7,0.03793670636542971,0.1590381588190224,24,0.03503742767820202,0.13483813614305068
174,2-7-24,3,0.1964721012110372,24x212,0.023223099997267127,2,0.15536269197597394,0.22405517372469363,7,0.04128160681039948,0.2782355214411443,24,0.04709782491956255,0.1775097211914205
175,2-7-24,3,0.19415855607466062,24x212,0.025759600015589967,2,0.15189658413546078,0.28651154616562907,7,0.04130213996068542,0.1604107263050067,24,0.040572884970574985,0.17555855494494144
176,2-7-24,3,0.208404163853567,24x212,0.026632699999026954,2,0.1570668646130052,0.147352970767888,7,0.04553033351054992,0.14731995274649623,24,0.06203722725171619,0.1511489614044547
177,2-7-24,3,0.20679824075381015,24x212,0.03047060000244528,2,0.16466842186645894,0.17056354771373822,7,0.039539067739678836,0.12910094187285134,24,0.041743049252650016,0.15907547398803937
178,2-7-24,3,0.1924019520823885,24x212,0.023999299999559298,2,0.15171904578178347,0.23701276047096645,7,0.04127113048999744,0.20398181331113938,24,0.03910184900097675,0.17236307352442576
179,2-7-24,3,0.20471528870841907,24x212,0.02424959998461418,2,0.15823184387617262,0.08852326378340039,7,0.0460543332057097,0.19619274276522128,24,0.04150978971624867,0.15292219121417414
180,2-7-24,3,0.19542872137309092,24x212,0.03134919999865815,2,0.1506360008348016,0.15975141580292948,7,0.04130769138600973,0.22564813128787392,24,0.039479316707114416,0.1328099997795564
181,2-7-24,3,0.2026865092492192,24x212,0.023060500010615215,2,0.15885914346556937,0.17701385524247534,7,0.04418347734175031,0.1750150504757254,24,0.03912270429347499,0.19085727863015076
182,2-7-24,3,0.19226277838732875,24x212,0.03316999998060055,2,0.1438924431035841,0.1073004867746109,7,0.04081536631790438,0.15187849211354476,24,0.0416133979246349,0.14223221480705892
183,2-7-24,3,0.19508147958661687,24x212,0.021839499997440726,2,0.15030828925915882,0.14310100663846315,7,0.04126425918536326,0.12544309643453574,24,0.041075924937981345,0.09951929104272349
184,2-7-24,3,0.19349143020722998,24x212,0.02109669998753816,2,0.15152072246352802,0.17093476396164814,7,0.040071755298016355,0.1442338462071482,24,0.03786757369472412,0.12518357629973512
185,2-7-24,3,0.20482311480337542,24x212,0.023488900013035163,2,0.16112120768426463,0.1575550159094929,7,0.045232301622479223,0.17871460260851832,24,0.037770520342843464,0.13205821848144028
186,2-7-24,3,0.17657252799198808,24x212,0.023172899993369356,2,0.12720770395708975,0.3096149881545618,7,0.04469107073603796,0.16907364757757629,24,0.03803645116958299,0.1389163385025969
187,2-7-24,3,0.19173708383296054,24x212,0.028179499990073964,2,0.15088817482000358,0.27717936398733867,7,0.039361661264214774,0.24726121287379652,24,0.04421202369555662,0.16390716343547468
188,2-7-24,3,0.18322631704141185,24x212,0.022261999984038994,2,0.14229906569852388,0.26901661697109797,7,0.03216488870268628,0.20139346316295365,24,0.04377807957054139,0.13409438713087724
189,2-7-24,3,0.2038209511792748,24x212,0.02139860001625493,2,0.16096841753012517,0.1381508876003726,7,0.040639272306875536,0.1366340471452851,24,0.042320632134593715,0.10295170412406333
190,2-7-24,3,0.1653639236734489,24x212,0.026367200014647096,2,0.12231961307355356,0.464033199365236,7,0.04027510104627348,0.21731745702857413,24,0.0402303216991601,0.1228858776623013
191,2-7-24,3,0.18919313605880053,24x212,0.024114100000588223,2,0.14675140425427685,0.23139251139532266,7,0.04452705213421122,0.17483555837894227,24,0.03624285839824864,0.14223208389118022
192,2-7-24,3,0.1980252367251287,24x212,0.02507019997574389,2,0.15206084767477432,0.10238581284175995,7,0.04245871776030466,0.1479394277594379,24,0.040388346938469974,0.14171429082766632
193,2-7-24,3,0.2676346859238879,24x212,0.02371450001373887,2,0.23328251104008102,0.16952961475238904,7,0.04204843298990437,0.11181441381970099,24,0.04490277779527718,0.16343751985622715
194,2-7-24,3,0.22298930870854544,24x212,0.023060499981511384,2,0.18487009245060335,0.23789414819342836,7,0.040737941636215615,0.13393782276520638,24,0.044001911873082944,0.16176845795946104
195,2-7-24,3,0.23785492324133575,24x212,0.02206229997682385,2,0.20332050548557085,0.18577370266074145,7,0.04285011427014364,0.10825699778890999,24,0.03871604740940677,0.1771356073746858
196,2-7-24,3,0.23254365653218997,24x212,0.02577400000882335,2,0.20223782110546182,0.3193703521142119,7,0.04181801177090941,0.20765807132776817,24,0.04197467318874285,0.23968648289447148
