indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
538,SNR_5db,MR,New_MR_139.wav,30-13-6,DeepONMF_H3,3,0.41161593629313287,6x212,0.023187800077721477,30,0.196667969826105,0.22400405268038592,0.015436399960890412,13,0.35904087937536483,0.15046828224213935,0.0042594000697135925,6,0.42931485859114027,0.13562550842853602,0.0026282999897375703
539,SNR_5db,MR,New_MR_140.wav,30-13-6,DeepONMF_H3,3,0.3982508985999639,6x212,0.02326419996097684,30,0.1937138819774293,0.23919020096278984,0.01516710000578314,13,0.38907113349595907,0.14050303483308846,0.004330300027504563,6,0.5176033209883036,0.1308483393140061,0.00290389999281615
540,SNR_5db,MR,New_MR_141.wav,30-13-6,DeepONMF_H3,3,0.4227677409793052,6x212,0.02209939993917942,30,0.1938804397740433,0.2340812242139475,0.013961499906145036,13,0.41079296045028424,0.13951531048595048,0.004514999920502305,6,0.524759477778313,0.12478666069327028,0.002662800019606948
541,SNR_5db,MR,New_MR_142.wav,30-13-6,DeepONMF_H3,3,0.4417934539044456,6x212,0.023234400083310902,30,0.19388314856604053,0.24006969660804264,0.015609199996106327,13,0.4002166301664165,0.11975667810696819,0.004190400009974837,6,0.5627253675841306,0.102033832878095,0.0025713000213727355
542,SNR_5db,MR,New_MR_143.wav,30-13-6,DeepONMF_H3,3,0.3953264596031764,6x212,0.023503399919718504,30,0.19160986657455994,0.2261351899990497,0.015312599949538708,13,0.3590768171437553,0.12864938177970256,0.004644899978302419,6,0.497864534781042,0.08752483854275747,0.0027061000000685453
543,SNR_5db,MR,New_MR_144.wav,30-13-6,DeepONMF_H3,3,0.4037624987211265,6x212,0.024484299938194454,30,0.19420872469648445,0.2408103405117227,0.016452900017611682,13,0.3681957058184496,0.1517631384817669,0.0042501999996602535,6,0.5184284236884542,0.13033628511126255,0.0026129999896511436
544,SNR_5db,MR,New_MR_145.wav,30-13-6,DeepONMF_H3,3,0.4497268444681172,6x212,0.025223599979653955,30,0.19606802180584243,0.22470965203185117,0.01698940002825111,13,0.3716305657330502,0.13929741945257723,0.004642799962311983,6,0.5289220541304033,0.14956227947510453,0.0027395000215619802
545,SNR_5db,MR,New_MR_146.wav,30-13-6,DeepONMF_H3,3,0.4051745798103883,6x212,0.02369069994892925,30,0.19511555746564035,0.2559615921739166,0.01578639994841069,13,0.4141360690593493,0.14508970387919115,0.004262399976141751,6,0.5684827144140708,0.1280043789548008,0.0026158998953178525
546,SNR_5db,MR,New_MR_147.wav,30-13-6,DeepONMF_H3,3,0.4530105873120236,6x212,0.023434200091287494,30,0.19968912795124338,0.23571640755413079,0.015342300059273839,13,0.4026838230263771,0.10900871895449245,0.004195100045762956,6,0.58830845795619,0.11493339015833212,0.002934599993750453
547,SNR_5db,MR,New_MR_148.wav,30-13-6,DeepONMF_H3,3,0.4251730108330126,6x212,0.022274799994193017,30,0.19808285596101405,0.24573914231982694,0.014047199976630509,13,0.3911817749382037,0.12626365592359307,0.0046948998933658,6,0.5476508263937531,0.1248709531549391,0.0026552999624982476
