indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos,capa_5_rango,capa_5_error,capa_5_ortogonalidad_h,capa_5_segundos
31,N,New_N_032.wav,20-19-18-17-16,5,0.448836700383404,126x16,16x212,20,0.04605826505747656,0.37120850985405807,0.03411499998765066,19,0.16130827964663752,0.12809812648736926,0.011067099985666573,18,0.14371379178941482,0.10120749778054804,0.009133799991104752,17,0.18478037972040945,0.07599535983371719,0.009796199999982491,16,0.244764336446381,0.07807773692309974,0.01092820000485517
32,N,New_N_033.wav,20-19-18-17-16,5,0.38534242631910587,126x16,16x212,20,0.043374048385593944,0.3939694544314991,0.035000900010345504,19,0.15755547181278726,0.14836256766846825,0.009629100008169189,18,0.09577085870008858,0.11155079095469782,0.014331100013805553,17,0.1779660898551625,0.0788636592170687,0.012812299974029884,16,0.18741888524581637,0.07320677410133115,0.011266599991358817
33,N,New_N_034.wav,20-19-18-17-16,5,0.4716825617844072,126x16,16x212,20,0.046311196465152416,0.3826113869232633,0.02988849999383092,19,0.15582158493584694,0.13599295951603507,0.010411800001747906,18,0.24096336795358644,0.09584192864124537,0.01052540002274327,17,0.23279970281601187,0.07420198143311443,0.007699099980527535,16,0.25895258029231843,0.06900270521450814,0.006779399991501123
34,N,New_N_035.wav,20-19-18-17-16,5,0.42577985767669835,126x16,16x212,20,0.04242916882569064,0.3684118075453129,0.029373299999861047,19,0.1776761378696075,0.13028973863516174,0.012258899980224669,18,0.21577483843926498,0.10255504202614926,0.007876699994085357,17,0.10986768983264565,0.08443131057956038,0.008886800002073869,16,0.15998389675119984,0.08050192101263524,0.009079600014956668
35,N,New_N_036.wav,20-19-18-17-16,5,0.3876289879540548,126x16,16x212,20,0.04766234010929097,0.39050223568628617,0.027390900009777397,19,0.1630427958783334,0.10875742955984094,0.011811799980932847,18,0.15468598090329064,0.07481899005685054,0.011779799999203533,17,0.12011467561104719,0.04803194856393264,0.011029699991922826,16,0.18656539861048166,0.046105203527013354,0.010678799997549504
36,N,New_N_037.wav,20-19-18-17-16,5,0.410938058488307,126x16,16x212,20,0.027739475538725272,0.40876691879182686,0.027561299997614697,19,0.14165174683201565,0.1433694992911389,0.012998499994864687,18,0.17892124701107384,0.09891747412298713,0.0117655000067316,17,0.07785494054162173,0.07147737442393003,0.011074100009864196,16,0.1574030412198645,0.05772794829110818,0.010353299992857501
37,N,New_N_038.wav,20-19-18-17-16,5,0.34330322194922597,126x16,16x212,20,0.035141544652385656,0.42694098154094423,0.025661799998488277,19,0.0919046190154019,0.1624824263789039,0.010451799986185506,18,0.11599887848992366,0.06982935266076716,0.011908799991942942,17,0.12463588726404241,0.06751533656472278,0.007193299999926239,16,0.06669673624967982,0.04578625151890369,0.006582900008652359
38,N,New_N_039.wav,20-19-18-17-16,5,0.3658409080691183,126x16,16x212,20,0.031001699086377753,0.442400139173237,0.028475700004491955,19,0.10963719133267918,0.1348314826566144,0.01229430001694709,18,0.1543278686931508,0.05148619337467415,0.01092250001966022,17,0.16513825900940932,0.03618368265534283,0.012998299993341789,16,0.23755292476517711,0.035312738035684056,0.011867499997606501
39,N,New_N_040.wav,20-19-18-17-16,5,0.37509046670492097,126x16,16x212,20,0.02987013183985655,0.38986871366661424,0.03072669997345656,19,0.1211056261870598,0.16891380789015017,0.01143489999230951,18,0.07709248129423396,0.09635398609446166,0.011668199993437156,17,0.12171389826637474,0.05481590725007624,0.011476700019557029,16,0.16700293448491388,0.04026234281907883,0.010014700004830956
40,N,New_N_041.wav,20-19-18-17-16,5,0.3928707461739525,126x16,16x212,20,0.031150201462136814,0.3732396401159712,0.02809249999700114,19,0.1469428350216628,0.11500398424358822,0.008811400010017678,18,0.18796806397820692,0.07745286212167837,0.008363200002349913,17,0.08165048508049305,0.05848462168048617,0.007118499983334914,16,0.07621816057791306,0.05338444690798399,0.008411799994064495
41,N,New_N_042.wav,20-19-18-17-16,5,0.39096551645274713,126x16,16x212,20,0.032794165190170345,0.40703180623887664,0.02631190000101924,19,0.13028462799599827,0.13381752955888837,0.008275800006231293,18,0.16122588393908524,0.06948422776154461,0.007575199997518212,17,0.18773764584677316,0.05780101765761933,0.008634199999505654,16,0.18564474360071517,0.044530055990748045,0.0065762999875005335
42,N,New_N_043.wav,20-19-18-17-16,5,0.3737264072185668,126x16,16x212,20,0.029494810273221702,0.44308351323551054,0.026768699986860156,19,0.13632954987534765,0.11474181788983709,0.009234400000423193,18,0.12730849267673017,0.06594750454691445,0.008934900019085035,17,0.0920651631085602,0.05091628098484052,0.011399000009987503,16,0.1669128769936519,0.051079943086645464,0.009483199974056333
