indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
264,SNR_-8db,AS,New_AS_065.wav,28-10,DeepONMF_H2,2,0.4060293910862492,10x212,0.019318400067277253,28,0.31379191951492036,0.2851392222142974,0.01465020002797246,10,0.5413846400074118,0.22549664762289154,0.0038609999464824796
265,SNR_-8db,AS,New_AS_066.wav,28-10,DeepONMF_H2,2,0.40603923457219865,10x212,0.020760799990966916,28,0.31591348060845054,0.2636188960648965,0.01594329997897148,10,0.5654701918165057,0.21289922852992368,0.003950099926441908
266,SNR_-8db,AS,New_AS_067.wav,28-10,DeepONMF_H2,2,0.4146103038769755,10x212,0.022608299972489476,28,0.3254376262511923,0.27493493773261557,0.018107700045220554,10,0.58756313922641,0.2541796114973512,0.0035195000236853957
267,SNR_-8db,AS,New_AS_068.wav,28-10,DeepONMF_H2,2,0.4073351594828023,10x212,0.022342000040225685,28,0.31676463815380623,0.27461797409174665,0.017654199968092144,10,0.5594736377402678,0.2059258243490392,0.003743699984624982
268,SNR_-8db,AS,New_AS_069.wav,28-10,DeepONMF_H2,2,0.4070407509591332,10x212,0.022552400012500584,28,0.31889849379779783,0.28494115881960536,0.017615900025703013,10,0.5380302045603085,0.26095183084917367,0.004004999995231628
269,SNR_-8db,AS,New_AS_070.wav,28-10,DeepONMF_H2,2,0.41011451678290556,10x212,0.022569900029338896,28,0.31938875335993705,0.27572208319557945,0.01720460003707558,10,0.5614131557235617,0.2460360636718292,0.003894799971021712
270,SNR_-8db,AS,New_AS_071.wav,28-10,DeepONMF_H2,2,0.4116226803466842,10x212,0.02174390002619475,28,0.31851598442407697,0.2713135973432885,0.015349699999205768,10,0.5929703356360324,0.21706462417781686,0.005283699952997267
271,SNR_-8db,AS,New_AS_072.wav,28-10,DeepONMF_H2,2,0.4028950799351121,10x212,0.022849000059068203,28,0.3147808788274402,0.2777651019892653,0.01842059998307377,10,0.5769545649279412,0.24164129293177197,0.0036198999732732773
272,SNR_-8db,AS,New_AS_073.wav,28-10,DeepONMF_H2,2,0.40283909432764053,10x212,0.02076029998715967,28,0.3143941998332321,0.27941273700310665,0.015978700015693903,10,0.5460168160931833,0.2547568906043256,0.0036617000587284565
273,SNR_-8db,AS,New_AS_074.wav,28-10,DeepONMF_H2,2,0.4127700244538588,10x212,0.02272210002411157,28,0.32450460596463554,0.2770449522804429,0.017172400024719536,10,0.5606549449499619,0.2483634257695151,0.00453959999140352
274,SNR_-8db,AS,New_AS_075.wav,28-10,DeepONMF_H2,2,0.40962936887724144,10x212,0.02177089999895543,28,0.3219669669333502,0.27298590979561715,0.017314799944870174,10,0.5655730543717973,0.23654315867929365,0.003634599968791008
275,SNR_-8db,AS,New_AS_076.wav,28-10,DeepONMF_H2,2,0.40066825066465295,10x212,0.019850100041367114,28,0.3123708891383921,0.2732753185775719,0.015325899934396148,10,0.5471500804064582,0.20695173697461297,0.003650899976491928
276,SNR_-8db,AS,New_AS_077.wav,28-10,DeepONMF_H2,2,0.41006906408839366,10x212,0.02019730000756681,28,0.31962775775815205,0.27581229886034764,0.015344700077548623,10,0.5807795647747401,0.24991365408134125,0.0036711000138893723
