indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
880,MVP,New_MVP_081.wav,15-7-6,3,0.251545616067087,126x6,6x212,15,0.0574995518997715,0.353799916470223,0.008707900000445079,7,0.24623077882643774,0.202641731471654,0.0027824999997392297,6,0.22453548698190523,0.12060849542924253,0.0023199999995995313
881,MVP,New_MVP_082.wav,15-7-6,3,0.2381316654920825,126x6,6x212,15,0.054962913784274064,0.35173684544074585,0.009327300002041738,7,0.3548190866722335,0.15988510450703175,0.003278899996075779,6,0.2652436207191844,0.1443280260751962,0.002297400002134964
882,MVP,New_MVP_083.wav,15-7-6,3,0.20576533357190588,126x6,6x212,15,0.05084256827983575,0.3611998941110838,0.0084802999990643,7,0.24622278432525146,0.1921269263799583,0.003766800000448711,6,0.19343242914009265,0.18309898412755887,0.0022751999931642786
883,MVP,New_MVP_084.wav,15-7-6,3,0.23043090231252028,126x6,6x212,15,0.05663073817033278,0.3629557041438097,0.008576499996706843,7,0.3469985625686414,0.20442055897275638,0.003179799998179078,6,0.2194499441758846,0.18718459532100634,0.002285000002302695
884,MVP,New_MVP_085.wav,15-7-6,3,0.2192402515395126,126x6,6x212,15,0.0563320427762154,0.35145159876093574,0.008785400001215748,7,0.19742106944461718,0.19172091222904022,0.002752299995336216,6,0.11686567565105041,0.15429048339749674,0.002319400002306793
885,MVP,New_MVP_086.wav,15-7-6,3,0.20815035394351084,126x6,6x212,15,0.06465621956806417,0.37731818328565864,0.008974900003522635,7,0.3081443994927497,0.18375796479266335,0.0029616000028909184,6,0.25439339194292565,0.16597434325003266,0.002277300001878757
886,MVP,New_MVP_087.wav,15-7-6,3,0.21527060776768997,126x6,6x212,15,0.05498903245067548,0.36010683711321595,0.008594000006269198,7,0.37084701232524997,0.15995598826813834,0.003048299993679393,6,0.29618227170690803,0.1591798634835905,0.0022977999979048036
887,MVP,New_MVP_088.wav,15-7-6,3,0.23672380953386582,126x6,6x212,15,0.054596718968018536,0.4266455218878491,0.009422800001630094,7,0.3122522519621856,0.26821130043352276,0.004179199997452088,6,0.2819951646507458,0.2300812983466564,0.0022547999978996813
888,MVP,New_MVP_089.wav,15-7-6,3,0.1957718056598261,126x6,6x212,15,0.058403764318812564,0.359511064896602,0.008993899995402899,7,0.31244094102123077,0.1887660592548384,0.002727999999478925,6,0.31123275843171627,0.16342539162074723,0.0023131999987526797
889,MVP,New_MVP_090.wav,15-7-6,3,0.20718469158084699,126x6,6x212,15,0.0542291378119108,0.40626211808604257,0.008786200000031386,7,0.32352284203876763,0.1627075343856012,0.0027979999940725975,6,0.2544839579711214,0.1703902302720639,0.002326300003915094
890,MVP,New_MVP_091.wav,15-7-6,3,0.2262467530616951,126x6,6x212,15,0.053323665101736736,0.35739442941535393,0.00903919999836944,7,0.33169841770050634,0.16534028482097848,0.003265100000135135,6,0.21404422978189402,0.12446359353509989,0.0022963000010349788
891,MVP,New_MVP_092.wav,15-7-6,3,0.2279967613829612,126x6,6x212,15,0.047013878114904796,0.35915240357118405,0.008633599994936958,7,0.2672662269244193,0.19965823697610752,0.002799000001687091,6,0.1945823860582487,0.15941392878017027,0.0023578999971505255
892,MVP,New_MVP_093.wav,15-7-6,3,0.23221208271092872,126x6,6x212,15,0.06077266198939078,0.35341437006804405,0.008498299997881986,7,0.3700781120013559,0.15220611255757358,0.002806399999826681,6,0.31778287306341957,0.10483564655859985,0.002350700000533834
893,MVP,New_MVP_094.wav,15-7-6,3,0.23725788085217267,126x6,6x212,15,0.06488502285700735,0.4205399261714367,0.008275899999716785,7,0.28826059926106773,0.18177161743318107,0.0029209999993327074,6,0.29703058320257314,0.1652995888605167,0.0023830999998608604
894,MVP,New_MVP_095.wav,15-7-6,3,0.2194475842583327,126x6,6x212,15,0.04882936499765314,0.3470465988061652,0.00867629999993369,7,0.27967713656297205,0.21614584516653929,0.0033598000009078532,6,0.24190000824918556,0.18716287994703806,0.002443700002913829
895,MVP,New_MVP_096.wav,15-7-6,3,0.21366830830483,126x6,6x212,15,0.05156689681494303,0.3708615043349174,0.008400600003369618,7,0.23895769924898852,0.1546598778954586,0.003180300001986325,6,0.2210312719407172,0.09754819505202064,0.0024254999952972867
896,MVP,New_MVP_097.wav,15-7-6,3,0.23552109226102985,126x6,6x212,15,0.061622666015590494,0.36782764359181064,0.008440400000836235,7,0.26543747738702156,0.14429028780698058,0.003639999995357357,6,0.2697134331330362,0.11703726067045896,0.0024788000009721145
897,MVP,New_MVP_098.wav,15-7-6,3,0.23939550753818137,126x6,6x212,15,0.061508106322054446,0.30160578067194965,0.00844649999635294,7,0.35066588946529925,0.19435168728447094,0.0036493000006885268,6,0.21949932296056368,0.1747081750452643,0.002468400001816917
898,MVP,New_MVP_099.wav,15-7-6,3,0.23831661050716665,126x6,6x212,15,0.04944802568416767,0.2773069662460189,0.008490499996696599,7,0.3351448950865018,0.19284320563513668,0.0038965000057942234,6,0.22047871653024684,0.17292383421230148,0.002442700002575293
899,MVP,New_MVP_100.wav,15-7-6,3,0.2551120317123372,126x6,6x212,15,0.06029981583773825,0.3102483423926891,0.008554000000003725,7,0.32709731681764026,0.1801530401752639,0.004119499993976206,6,0.23662299365608175,0.1625781818782162,0.0024439999979222193
900,MVP,New_MVP_101.wav,15-7-6,3,0.269165081430442,126x6,6x212,15,0.06808243002555937,0.3016648995640216,0.008333399993716739,7,0.33791642117395065,0.16929499180995858,0.004279399996448774,6,0.28343764990864634,0.15771342544660874,0.002701699995668605
901,MVP,New_MVP_102.wav,15-7-6,3,0.22678649647237167,126x6,6x212,15,0.06239339344678581,0.3255598300789382,0.008411200004047714,7,0.33237624466980537,0.17614118518469285,0.0032414000015705824,6,0.22437961127947115,0.15031183324486666,0.002914999997301493
902,MVP,New_MVP_103.wav,15-7-6,3,0.25539984789570863,126x6,6x212,15,0.0670231470470937,0.29515147834939154,0.008474700000078883,7,0.40516919044910066,0.20720894601473605,0.003634799999417737,6,0.23381063165263616,0.2102982271862061,0.0027067000046372414
903,MVP,New_MVP_104.wav,15-7-6,3,0.28254242235072696,126x6,6x212,15,0.08140493434568512,0.2326397629136384,0.008697299999766983,7,0.34808605966132483,0.10453755875556603,0.0032319000019924715,6,0.27868010715511043,0.1086069703983419,0.0025420999954803847
904,MVP,New_MVP_105.wav,15-7-6,3,0.23837964962645886,126x6,6x212,15,0.06794449153308625,0.31527414806163157,0.008716400006960612,7,0.3174150270288916,0.19131259487082944,0.0039949999991222285,6,0.22924697261592428,0.18475928193383967,0.002487700003257487
905,MVP,New_MVP_106.wav,15-7-6,3,0.28266611602589514,126x6,6x212,15,0.07451576851308205,0.28961739636192607,0.008383899999898858,7,0.4015795649482796,0.19136841386884934,0.0027253000007476658,6,0.24434555645717465,0.17120082172773715,0.002324200002476573
906,MVP,New_MVP_107.wav,15-7-6,3,0.24646075563508738,126x6,6x212,15,0.07000241239429877,0.30065051255404124,0.00869819999934407,7,0.3640384675156157,0.17989425159245945,0.0032234000027528964,6,0.2351890839817382,0.14967102349652642,0.0023519999958807603
907,MVP,New_MVP_108.wav,15-7-6,3,0.27634204092706943,126x6,6x212,15,0.06691488037490477,0.32546283755300043,0.008559199995943345,7,0.3760688628265128,0.15583098246589838,0.004120199999306351,6,0.3540167681426187,0.12056074059317828,0.0022548999986611307
908,MVP,New_MVP_109.wav,15-7-6,3,0.30057657102499175,126x6,6x212,15,0.06442115426811736,0.2173048181368095,0.009108000005653594,7,0.42591667821602897,0.148592910733274,0.0026527000009082258,6,0.28050195969140135,0.15550916673559245,0.0022720999986631796
909,MVP,New_MVP_110.wav,15-7-6,3,0.3100060355839686,126x6,6x212,15,0.06668664679699898,0.2309918953694082,0.008750699998927303,7,0.3251821691215471,0.12931456813497919,0.003600600000936538,6,0.3193765564944953,0.1329162417785537,0.002253099999506958
910,MVP,New_MVP_111.wav,15-7-6,3,0.28059751192015286,126x6,6x212,15,0.0812525749324357,0.25731702761600905,0.008728600005269982,7,0.36356794039637896,0.15291844131225862,0.003362700001162011,6,0.25112584352173617,0.14074133633996283,0.0023449000000255182
911,MVP,New_MVP_112.wav,15-7-6,3,0.2937309586512561,126x6,6x212,15,0.08870652511388978,0.22761761913263528,0.00863740000204416,7,0.3642261697896521,0.14457773073472444,0.00279690000024857,6,0.25798628865070306,0.11784814816240077,0.0023750000036670826
912,MVP,New_MVP_113.wav,15-7-6,3,0.2696914202999158,126x6,6x212,15,0.08076055283770953,0.2593465568139211,0.008752999994612765,7,0.34353759802217493,0.1320417073703926,0.0028204000045661815,6,0.2914768284013867,0.13122154364428673,0.0023790000050212257
913,MVP,New_MVP_114.wav,15-7-6,3,0.27674460447553495,126x6,6x212,15,0.07804008997258717,0.27413030048510795,0.008563099996536039,7,0.37080935759716616,0.13212669653260536,0.0027707999979611486,6,0.2497765180021806,0.11258698195417695,0.002340799997909926
914,MVP,New_MVP_115.wav,15-7-6,3,0.2999764643079797,126x6,6x212,15,0.0803510382942644,0.23440499781831123,0.009232199998223223,7,0.34020656629964385,0.13394336954517944,0.0027644000001600944,6,0.21725696564229532,0.12629190474095917,0.0023567000025650486
915,MVP,New_MVP_116.wav,15-7-6,3,0.2809725576943705,126x6,6x212,15,0.07772135644915402,0.250993849428293,0.008751599998504389,7,0.367231052484156,0.1368763665704732,0.002885399997467175,6,0.23327746004159272,0.12847671955568205,0.0023905999987618998
916,MVP,New_MVP_117.wav,15-7-6,3,0.2763734014859457,126x6,6x212,15,0.08200246024948889,0.333472878947446,0.008771300002990756,7,0.3255188150633794,0.18112368590668199,0.0028957999966223724,6,0.24240495404575743,0.13515644078957384,0.00242239999352023
917,MVP,New_MVP_118.wav,15-7-6,3,0.3115741564519026,126x6,6x212,15,0.0880509916062065,0.2624878568952155,0.00847109999449458,7,0.32792752366235406,0.1422158634564883,0.0036125000042375177,6,0.2217101221685816,0.08439350114572661,0.002407400002994109
918,MVP,New_MVP_119.wav,15-7-6,3,0.2656874073210105,126x6,6x212,15,0.07548575952487695,0.27644483564010747,0.008414099997025914,7,0.2874763284865346,0.14568277990691209,0.0038321999963955022,6,0.19356189333657497,0.11233804723834453,0.0025147999986074865
