distribucion,rangos,numero_capas,ronda,segundos,audios,folds,evaluaciones_esperadas
16-10-4,"[16, 10, 4]",3,7,124.00185419999616,1000,5,60
17-10,"[17, 10]",2,7,205.55205569999816,1000,5,60
17-11-4,"[17, 11, 4]",3,7,121.3522937999951,1000,5,60
17-4,"[17, 4]",2,7,119.2890658999968,1000,5,60
17-9,"[17, 9]",2,7,194.06955200000084,1000,5,60
12-11,"[12, 11]",2,8,197.69228160000057,1000,5,60
12-4,"[12, 4]",2,8,122.62290400000347,1000,5,60
12-5-4,"[12, 5, 4]",3,8,133.69277309999595,1000,5,60
14-11-8-3,"[14, 11, 8, 3]",4,8,131.05994039999496,1000,5,60
14-8,"[14, 8]",2,8,187.5792833000014,1000,5,60
14-8-5-3,"[14, 8, 5, 3]",4,8,130.11229099999764,1000,5,60
15-10,"[15, 10]",2,8,308.6137230999957,1000,5,60
15-3,"[15, 3]",2,8,127.81866130000708,1000,5,60
15-8-3,"[15, 8, 3]",3,8,121.8685684000011,1000,5,60
16-11,"[16, 11]",2,8,321.64822789999744,1000,5,60
13-12,"[13, 12]",2,9,295.86698700000125,1000,5,60
13-4,"[13, 4]",2,9,125.5379455000002,1000,5,60
13-5-4,"[13, 5, 4]",3,9,126.01841550000243,1000,5,60
16-12,"[16, 12]",2,9,425.9221333999958,1000,5,60
16-3,"[16, 3]",2,9,123.9009928000014,1000,5,60
16-8-3,"[16, 8, 3]",3,9,194.4602834000034,1000,5,60
17-11,"[17, 11]",2,9,380.19020929999533,1000,5,60
