indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
183,SNR_8db,ONMF,7,1,0.05,False,0.1753445356947845,7x212,126x7,0.024356900015845895
184,SNR_8db,ONMF,7,1,0.05,False,0.1797551246447041,7x212,126x7,0.027694900054484606
185,SNR_8db,ONMF,7,1,0.05,False,0.17873605451848418,7x212,126x7,0.02436889987438917
186,SNR_8db,ONMF,7,1,0.05,False,0.17903475537507726,7x212,126x7,0.030051599955186248
187,SNR_8db,ONMF,7,1,0.05,False,0.17539790073642192,7x212,126x7,0.025189599953591824
188,SNR_8db,ONMF,7,1,0.05,False,0.1791519601488521,7x212,126x7,0.02447739988565445
189,SNR_8db,ONMF,7,1,0.05,False,0.17809636015127403,7x212,126x7,0.024726100033149123
190,SNR_8db,ONMF,7,1,0.05,False,0.17737408858942538,7x212,126x7,0.026875999988988042
191,SNR_8db,ONMF,7,1,0.05,False,0.17689178131921335,7x212,126x7,0.023955099983140826
192,SNR_8db,ONMF,7,1,0.05,False,0.18235763595669377,7x212,126x7,0.026590100023895502
193,SNR_8db,ONMF,7,1,0.05,False,0.17870120891250943,7x212,126x7,0.02660919982008636
194,SNR_8db,ONMF,7,1,0.05,False,0.18717100370673193,7x212,126x7,0.025403199950233102
195,SNR_8db,ONMF,7,1,0.05,False,0.1901873846462305,7x212,126x7,0.023916600039228797
196,SNR_8db,ONMF,7,1,0.05,False,0.19700161805515318,7x212,126x7,0.024534699972718954
197,SNR_8db,ONMF,7,1,0.05,False,0.18941212257988732,7x212,126x7,0.024531899951398373
198,SNR_8db,ONMF,7,1,0.05,False,0.18776627152039074,7x212,126x7,0.023953899974003434
199,SNR_8db,ONMF,7,1,0.05,False,0.19445855556542796,7x212,126x7,0.023562399903312325
200,SNR_8db,ONMF,7,1,0.05,False,0.20716250799239888,7x212,126x7,0.024909199913963675
201,SNR_8db,ONMF,7,1,0.05,False,0.1951215585393573,7x212,126x7,0.023407100001350045
